,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
92,edge_lig_4-99_lig_10988-1,-3.3899999999999997,0,0,1
93,edge_lig_4-99_lig_10992-1,-3.4399999999999977,0,0,1
94,edge_lig_4-99_lig_10997-1,0.1599999999999966,0,0,1
95,edge_lig_4-99_lig_10999-1,-3.49,0,0,1
96,edge_lig_4-99_lig_11-1,-0.769999999999996,0,0,1
97,edge_lig_4-99_lig_11002-1,-1.75,0,0,1
98,edge_lig_4-99_lig_11005-1,-1.2,0,0,1
99,edge_lig_4-99_lig_11008-1,-2.5500000000000043,0,0,1
100,edge_lig_4-99_lig_11009-1,-2.5100000000000002,0,0,1
101,edge_lig_4-99_lig_11012-1,-2.7600000000000016,0,0,1
102,edge_lig_4-99_lig_11015-1,-3.66,0,0,1
103,edge_lig_4-99_lig_11016-2,0.3000000000000007,0,0,1
104,edge_lig_4-99_lig_11026-1,-0.7300000000000004,0,0,1
105,edge_lig_4-99_lig_11047-3,-3.3999999999999986,0,0,1
106,edge_lig_4-99_lig_11048-1,-3.0500000000000007,0,0,1
107,edge_lig_4-99_lig_11054-1,-2.9899999999999998,0,0,1
108,edge_lig_4-99_lig_11056-1,-1.4100000000000001,0,0,1
109,edge_lig_4-99_lig_11057-1,-4.650000000000002,0,0,1
110,edge_lig_4-99_lig_11063-1,-4.31,0,0,1
111,edge_lig_4-99_lig_11063-2,-5.52,0,0,1
112,edge_lig_4-99_lig_11075-2,-3.530000000000001,0,0,1
113,edge_lig_4-99_lig_11111-1,-3.8599999999999994,0,0,1
114,edge_lig_4-99_lig_11114-1,0.4000000000000057,0,0,1
115,edge_lig_4-99_lig_11137-1,2.799999999999997,0,0,1
116,edge_lig_4-99_lig_1115-1,-3.5599999999999987,0,0,1
117,edge_lig_4-99_lig_1116-1,-0.71,0,0,1
118,edge_lig_4-99_lig_1117-1,-3.43,0,0,1
119,edge_lig_4-99_lig_1119-1,-2.91,0,0,1
120,edge_lig_4-99_lig_11192-1,-4.0200000000000005,0,0,1
121,edge_lig_4-99_lig_11210-1,0.010000000000005116,0,0,1
122,edge_lig_4-99_lig_11211-1,2.4099999999999966,0,0,1
123,edge_lig_4-99_lig_11221-1,-1.459999999999999,0,0,1
124,edge_lig_4-99_lig_11222-1,-1.9000000000000021,0,0,1
125,edge_lig_4-99_lig_11223-1,-5.319999999999999,0,0,1
126,edge_lig_4-99_lig_11224-1,-2.8100000000000005,0,0,1
127,edge_lig_4-99_lig_11262-1,-6.85,0,0,1
128,edge_lig_4-99_lig_11262-4,-4.09,0,0,1
129,edge_lig_4-99_lig_11278-1,-1.1400000000000001,0,0,1
130,edge_lig_4-99_lig_11278-2,-5.1899999999999995,0,0,1
131,edge_lig_4-99_lig_11278-3,-3.1700000000000004,0,0,1
132,edge_lig_4-99_lig_11278-4,-2.1,0,0,1
133,edge_lig_4-99_lig_11299-1,-3.1000000000000005,0,0,1
134,edge_lig_4-99_lig_1138-2,1.2300000000000004,0,0,1
135,edge_lig_4-99_lig_11385-2,-3.9800000000000004,0,0,1
136,edge_lig_4-99_lig_11396-1,-3.8499999999999996,0,0,1
137,edge_lig_4-99_lig_1140-1,-1.9100000000000001,0,0,1
138,edge_lig_4-99_lig_1140-2,-0.08000000000000007,0,0,1
139,edge_lig_4-99_lig_11402-1,-2.8500000000000014,0,0,1
140,edge_lig_4-99_lig_11406-1,-0.2400000000000091,0,0,1
141,edge_lig_4-99_lig_11409-1,-1.4100000000000001,0,0,1
142,edge_lig_4-99_lig_1141-1,-2.8000000000000003,0,0,1
143,edge_lig_4-99_lig_11412-1,-1.6499999999999986,0,0,1
144,edge_lig_4-99_lig_11500-1,-2.5,0,0,1
145,edge_lig_4-99_lig_11510-1,-0.6700000000000017,0,0,1
146,edge_lig_4-99_lig_11585-1,-0.62,0,0,1
147,edge_lig_4-99_lig_11586-1,-3.5799999999999996,0,0,1
148,edge_lig_4-99_lig_11597-1,-2.9099999999999997,0,0,1
149,edge_lig_4-99_lig_11600-1,-0.1899999999999995,0,0,1
150,edge_lig_4-99_lig_11608-1,-1.3500000000000014,0,0,1
151,edge_lig_4-99_lig_11627-1,-4.669999999999995,0,0,1
152,edge_lig_4-99_lig_11627-2,-3.8100000000000023,0,0,1
153,edge_lig_4-99_lig_11653-1,-1.5899999999999999,0,0,1
154,edge_lig_4-99_lig_11682-1,-1.8200000000000003,0,0,1
155,edge_lig_4-99_lig_117-1,-0.58,0,0,1
156,edge_lig_4-99_lig_11861-1,-2.620000000000001,0,0,1
157,edge_lig_4-99_lig_11921-7,-2.1500000000000004,0,0,1
158,edge_lig_4-99_lig_11935-1,-1.17,0,0,1
159,edge_lig_4-99_lig_11936-2,-5.710000000000001,0,0,1
160,edge_lig_4-99_lig_11936-3,-3.9499999999999993,0,0,1
161,edge_lig_4-99_lig_11937-1,-5.68,0,0,1
162,edge_lig_4-99_lig_11938-1,-3.5100000000000016,0,0,1
163,edge_lig_4-99_lig_11942-1,-0.8499999999999996,0,0,1
164,edge_lig_4-99_lig_11947-1,-1.6500000000000004,0,0,1
165,edge_lig_4-99_lig_11948-1,-1.98,0,0,1
166,edge_lig_4-99_lig_11948-4,-1.7300000000000004,0,0,1
167,edge_lig_4-99_lig_11952-1,-2.8899999999999997,0,0,1
168,edge_lig_4-99_lig_120-1,-4.23,0,0,1
169,edge_lig_4-99_lig_1207-1,-3.0999999999999996,0,0,1
170,edge_lig_4-99_lig_12253-1,-2.3000000000000114,0,0,1
171,edge_lig_4-99_lig_12256-1,-0.9199999999999946,0,0,1
172,edge_lig_4-99_lig_1226-1,-1.2199999999999998,0,0,1
173,edge_lig_4-99_lig_1226-2,-0.46999999999999975,0,0,1
174,edge_lig_4-99_lig_12355-1,-1.9799999999999995,0,0,1
175,edge_lig_4-99_lig_124-1,-3.850000000000005,0,0,1
176,edge_lig_4-99_lig_124-2,-1.8999999999999986,0,0,1
177,edge_lig_4-99_lig_12491-1,0.060000000000002274,0,0,1
178,edge_lig_4-99_lig_12647-1,0.05999999999999961,0,0,1
179,edge_lig_4-99_lig_12649-1,-1.8599999999999994,0,0,1
180,edge_lig_4-99_lig_12650-1,-3.0599999999999987,0,0,1
181,edge_lig_4-99_lig_12652-1,-2.530000000000001,0,0,1
182,edge_lig_4-99_lig_12653-1,-1.990000000000001,0,0,1
183,edge_lig_4-99_lig_12656-1,-3.34,0,0,1
184,edge_lig_4-99_lig_12661-1,-3.6799999999999997,0,0,1
185,edge_lig_4-99_lig_127-1,-2.55,0,0,1
186,edge_lig_4-99_lig_12886-1,-2.84,0,0,1
187,edge_lig_4-99_lig_12886-2,-1.2900000000000003,0,0,1
188,edge_lig_4-99_lig_12888-1,-0.5500000000000007,0,0,1
189,edge_lig_4-99_lig_12899-1,-0.20000000000000284,0,0,1
190,edge_lig_4-99_lig_12906-1,-2.5599999999999996,0,0,1
191,edge_lig_4-99_lig_1295-3,0.3999999999999986,0,0,1
192,edge_lig_4-99_lig_1295-4,0.38000000000000256,0,0,1
193,edge_lig_4-99_lig_12987-1,-0.040000000000000036,0,0,1
194,edge_lig_4-99_lig_12987-2,-1.1999999999999997,0,0,1
195,edge_lig_4-99_lig_13002-1,-2.3900000000000006,0,0,1
196,edge_lig_4-99_lig_13043-1,-5.8,0,0,1
197,edge_lig_4-99_lig_13061-1,2.0600000000000023,0,0,1
198,edge_lig_4-99_lig_13114-1,-3.6099999999999994,0,0,1
199,edge_lig_4-99_lig_13177-1,-0.9299999999999997,0,0,1
200,edge_lig_4-99_lig_13226-1,-2.4800000000000004,0,0,1
201,edge_lig_4-99_lig_13248-1,-0.8000000000000043,0,0,1
202,edge_lig_4-99_lig_13434-1,-2.2299999999999995,0,0,1
203,edge_lig_4-99_lig_13435-1,-1.4399999999999995,0,0,1
204,edge_lig_4-99_lig_13437-1,-1.53,0,0,1
205,edge_lig_4-99_lig_13449-1,-1.63,0,0,1
206,edge_lig_4-99_lig_13449-2,-0.41000000000000014,0,0,1
207,edge_lig_4-99_lig_13451-2,-1.6899999999999995,0,0,1
208,edge_lig_4-99_lig_1346-2,1.0499999999999972,0,0,1
209,edge_lig_4-99_lig_1349-1,-1.2299999999999969,0,0,1
210,edge_lig_4-99_lig_13518-1,4.579999999999998,0,0,1
211,edge_lig_4-99_lig_13563-1,-0.28999999999999915,0,0,1
212,edge_lig_4-99_lig_1358-1,-0.8200000000000003,0,0,1
213,edge_lig_4-99_lig_13581-1,0.1599999999999966,0,0,1
214,edge_lig_4-99_lig_13581-2,-1.5799999999999983,0,0,1
215,edge_lig_4-99_lig_13581-3,-2.520000000000003,0,0,1
216,edge_lig_4-99_lig_13581-4,0.15000000000000213,0,0,1
217,edge_lig_4-99_lig_1359-1,-4.52,0,0,1
218,edge_lig_4-99_lig_1359-3,-1.1799999999999997,0,0,1
219,edge_lig_4-99_lig_1359-4,-2.46,0,0,1
220,edge_lig_4-99_lig_1360-1,-0.5900000000000007,0,0,1
221,edge_lig_4-99_lig_13624-1,-2.8500000000000014,0,0,1
222,edge_lig_4-99_lig_1366-1,-1.9700000000000024,0,0,1
223,edge_lig_4-99_lig_1369-1,-0.61,0,0,1
224,edge_lig_4-99_lig_1373-1,-6.34,0,0,1
225,edge_lig_4-99_lig_1379-1,-2.3099999999999987,0,0,1
226,edge_lig_4-99_lig_13888-4,-5.35,0,0,1
227,edge_lig_4-99_lig_13895-1,-2.9699999999999998,0,0,1
228,edge_lig_4-99_lig_13903-1,-3.7099999999999937,0,0,1
229,edge_lig_4-99_lig_1391-1,-2.72,0,0,1
230,edge_lig_4-99_lig_1392-1,-3.430000000000007,0,0,1
231,edge_lig_4-99_lig_14046-1,-2.3900000000000006,0,0,1
232,edge_lig_4-99_lig_1417-1,-3.93,0,0,1
233,edge_lig_4-99_lig_14184-1,-1.4899999999999949,0,0,1
234,edge_lig_4-99_lig_1422-1,-1.91,0,0,1
235,edge_lig_4-99_lig_14236-1,-2.120000000000001,0,0,1
236,edge_lig_4-99_lig_14241-2,-2.719999999999999,0,0,1
237,edge_lig_4-99_lig_1427-2,-5.26,0,0,1
238,edge_lig_4-99_lig_14272-1,-2.7700000000000005,0,0,1
