ligand	DG(MLE)	uncertainty (kcal/mol)
lig_7103-1	-0.5500000000000003	0.01
lig_1556-1	0.31000000000000005	0.01
lig_20759-3	2.1	0.01
lig_22030-1	1.23	0.01
lig_39316-1	2.68	0.01
lig_28182-1	3.21	0.01
lig_11669-2	1.0300000000000002	0.01
lig_17268-2	2.08	0.01
lig_22017-1	3.3200000000000003	0.01
lig_45217-1	2.38	0.01
lig_10632-1	4.4	0.01
lig_20714-6	1.78	0.01
lig_20750-2	-0.27	0.01
lig_43790-1	-0.1299999999999999	0.01
lig_37203-1	0.94	0.01
lig_22022-1	1.17	0.01
lig_37442-1	4.3	0.01
lig_2739-1	2.98	0.01
lig_18872-2	2.46	0.01
lig_20750-6	0.3999999999999999	0.01
lig_17266-1	2.95	0.01
lig_5714-1	2.54	0.01
lig_2764-2	2.5700000000000003	0.01
lig_19279-1	2.84	0.01
lig_10541-1	0.5300000000000002	0.01
lig_5718-2	0.43000000000000016	0.01
lig_16199-1	0.43000000000000016	0.01
lig_11368-2	3.0500000000000003	0.01
lig_34827-2	3.0700000000000003	0.01
lig_20726-1	3.17	0.01
lig_22025-1	2.34	0.01
lig_2748-1	0.4900000000000002	0.01
lig_21331-1	1.5300000000000002	0.01
lig_8401-1	2.8000000000000003	0.01
lig_14919-1	-0.8900000000000001	0.01
lig_14864-1	-3.7099999999999995	0.01
lig_17957-1	4.59	0.01
lig_2338-2	1.06	0.01
lig_20774-2	4.890000000000001	0.01
lig_14117-1	1.9900000000000002	0.01
lig_18296-3	4.94	0.01
lig_14119-1	6.02	0.01
lig_11471-3	-0.3999999999999999	0.01
lig_27566-4	-1.3400000000000003	0.01
lig_20760-1	3.81	0.01
lig_14757-1	1.04	0.01
lig_12201-1	-2.98	0.01
lig_21308-1	3.5700000000000003	0.01
lig_17290-1	-0.49999999999999956	0.01
lig_8336-1	0.18000000000000016	0.01
lig_33862-1	0.31000000000000005	0.01
lig_20709-1	2.02	0.01
lig_11351-1	4.12	0.01
lig_30931-1	2.71	0.01
lig_10634-1	1.9900000000000002	0.01
lig_42850-1	2.84	0.01
lig_13-99	0.0	0.01
lig_41313-1	0.14000000000000012	0.01
lig_25924-1	-0.11999999999999966	0.01
lig_36502-2	0.31000000000000005	0.01
lig_20745-1	3.24	0.01
lig_17259-1	0.9300000000000002	0.01
lig_10690-1	2.47	0.01
lig_11471-1	1.1400000000000001	0.01
lig_8465-1	-0.2999999999999998	0.01
lig_36666-1	2.18	0.01
lig_27651-2	2.5300000000000002	0.01
lig_20706-3	2.22	0.01
lig_19263-1	-0.43999999999999995	0.01
lig_9745-1	0.8200000000000003	0.01
lig_17256-1	0.5800000000000001	0.01
lig_44102-1	-0.48	0.01
lig_30815-2	2.4800000000000004	0.01
lig_4150-1	0.8000000000000003	0.01
lig_7130-2	1.42	0.01
lig_7130-1	4.59	0.0
lig_20709-3	1.8	0.01
lig_20724-4	0.6100000000000003	0.01
lig_10689-1	1.12	0.01
lig_34372-1	0.71	0.01
lig_14590-1	1.9800000000000002	0.01
lig_20750-7	1.9600000000000002	0.01
lig_20693-2	1.33	0.01
lig_36965-1	4.0600000000000005	0.01
lig_27635-1	3.71	0.01
lig_44102-2	-0.37999999999999945	0.01
lig_30807-2	0.08000000000000007	0.01
lig_17264-1	-2.28	0.01
lig_20724-2	0.33000000000000007	0.01
lig_22018-1	0.040000000000000036	0.01
lig_129-1	2.4800000000000004	0.0
lig_4723-2	2.5300000000000002	0.0
lig_15318-1	4.82	0.01
lig_39208-1	3.69	0.0
lig_11786-1	3.46	0.0
lig_26731-1	2.42	0.01
lig_18165-1	3.22	0.0
lig_44131-1	5.58	0.01
lig_3684-1	5.58	0.0
lig_4657-1	2.77	0.0
lig_7112-2	5.49	0.01
lig_44391-2	3.14	0.01
lig_13591-2	4.09	0.0
lig_13061-1	4.82	0.0
lig_3845-1	4.23	0.0
lig_43393-1	3.23	0.0
lig_10202-2	2.0	0.0
lig_30432-4	6.91	0.01
lig_3565-1	4.99	0.0
lig_38254-2	2.63	0.01
lig_22011-2	4.48	0.01
lig_16635-4	5.8100000000000005	0.0
lig_35182-1	1.7300000000000002	0.0
lig_3846-2	3.81	0.01
lig_21317-1	3.0700000000000003	0.0
lig_907-1	4.44	0.0
lig_23260-2	1.2000000000000002	0.0
lig_40523-1	1.9300000000000002	0.0
lig_11189-1	5.5	0.0
lig_4148-1	3.5100000000000002	0.0
lig_24930-1	0.77	0.01
lig_42068-1	2.95	0.0
lig_16400-1	3.73	0.0
lig_38335-1	6.93	0.01
lig_15847-2	3.95	0.0
lig_18165-2	2.35	0.0
lig_44693-1	5.6	0.01
lig_4659-1	3.3600000000000003	0.0
lig_32276-4	0.69	0.0
lig_5944-1	0.6200000000000001	0.0
lig_30318-1	1.1300000000000003	0.01
lig_14587-1	1.4700000000000002	0.01
lig_32423-1	2.54	0.01
lig_19021-1	2.0100000000000002	0.01
lig_38556-2	3.71	0.01
lig_14944-2	2.17	0.01
lig_20709-4	1.44	0.01
lig_21812-2	-0.9499999999999997	0.01
lig_30813-2	0.14000000000000012	0.01
lig_20759-4	2.22	0.01
lig_43059-1	0.040000000000000036	0.01
lig_25911-1	4.19	0.01
lig_11347-1	0.69	0.01
lig_36747-1	0.81	0.01
lig_32412-1	1.4100000000000001	0.01
lig_30432-3	0.43000000000000016	0.01
lig_2754-2	-1.7899999999999996	0.01
lig_14492-1	0.18000000000000016	0.01
lig_2959-1	-0.7099999999999995	0.01
lig_32442-1	2.79	0.01
lig_22043-1	0.20999999999999996	0.01
lig_19334-1	1.77	0.01
lig_44916-1	0.5100000000000002	0.01
lig_14595-1	0.96	0.01
lig_15410-1	-0.6299999999999994	0.01
lig_44122-1	2.3	0.01
lig_20782-3	1.04	0.01
lig_25915-1	3.67	0.01
lig_11611-1	1.25	0.01
lig_13799-1	2.22	0.01
lig_10252-1	0.9900000000000002	0.01
lig_23802-2	1.7000000000000002	0.01
lig_15539-1	5.07	0.01
lig_44517-1	2.04	0.01
lig_44122-2	-0.13999999999999968	0.01
lig_11372-1	3.74	0.01
lig_2753-1	-0.49999999999999956	0.01
lig_14903-1	2.4400000000000004	0.01
lig_7413-1	2.46	0.01
lig_1684-1	0.8200000000000003	0.01
lig_14864-2	-1.69	0.01
lig_20797-4	3.6100000000000003	0.01
lig_44503-2	4.43	0.01
lig_43856-1	2.0300000000000002	0.01
lig_37247-1	1.02	0.01
lig_17312-2	1.12	0.01
lig_19261-1	0.26000000000000023	0.01
lig_10688-1	2.67	0.01
lig_38552-1	1.6600000000000001	0.01
lig_26725-1	3.0300000000000002	0.01
lig_19291-2	-0.7600000000000002	0.01
lig_3793-1	4.51	0.0
lig_44002-1	9.06	0.01
lig_3376-1	5.76	0.0
lig_15342-1	6.27	0.0
lig_21324-1	4.390000000000001	0.01
lig_21300-1	2.96	0.0
lig_37884-2	3.83	0.0
lig_3569-1	2.88	0.0
lig_27578-1	4.0600000000000005	0.0
lig_41204-2	5.6	0.01
lig_43630-1	3.5100000000000002	0.0
lig_3541-1	4.33	0.0
lig_18796-1	6.37	0.01
lig_127-1	3.27	0.0
lig_19652-1	8.89	0.01
lig_10839-2	3.5900000000000003	0.01
lig_40229-1	2.83	0.0
lig_8979-1	5.55	0.0
lig_21123-1	5.77	0.0
lig_17315-1	4.15	0.0
lig_30778-2	4.04	0.01
lig_19249-1	-4.99	0.01
lig_40743-1	-1.1699999999999995	0.01
lig_10684-1	2.89	0.01
lig_36502-1	1.46	0.01
lig_20760-2	2.87	0.01
lig_44523-2	3.6	0.01
lig_15552-2	2.37	0.01
lig_2726-1	-1.94	0.01
lig_22602-1	2.66	0.01
lig_2770-1	1.48	0.01
lig_36495-1	5.51	0.01
lig_15551-1	3.0700000000000003	0.01
lig_29891-1	1.31	0.01
lig_20795-1	1.0500000000000003	0.01
lig_20720-4	2.41	0.01
lig_17289-1	0.22999999999999998	0.01
lig_20720-2	2.63	0.01
lig_36663-1	0.6100000000000003	0.01
lig_23487-1	4.2700000000000005	0.01
lig_14066-1	0.0	0.01
lig_38156-1	1.0	0.01
lig_22045-1	4.8	0.01
lig_11298-1	3.5300000000000002	0.01
lig_37443-2	3.06	0.01
lig_17492-1	4.38	0.01
lig_43882-1	1.6700000000000002	0.01
lig_43074-1	-0.7600000000000002	0.01
lig_20801-4	0.9900000000000002	0.01
lig_25920-1	5.3	0.01
lig_44102-3	-0.8999999999999999	0.01
lig_42020-1	3.67	0.01
lig_30781-1	4.13	0.01
lig_38556-1	4.22	0.01
lig_36497-2	0.8800000000000003	0.01
lig_9747-1	2.3600000000000003	0.01
lig_38553-1	-0.31999999999999984	0.01
lig_38555-1	3.25	0.01
lig_3280-1	-1.3199999999999998	0.01
lig_20744-2	-0.009999999999999787	0.01
lig_11366-1	2.25	0.01
lig_20726-2	2.06	0.01
lig_20782-1	5.58	0.01
lig_28181-1	5.05	0.01
lig_22036-1	5.93	0.01
lig_2297-1	6.37	0.0
lig_26782-2	5.3100000000000005	0.01
lig_17881-1	6.18	0.01
lig_2136-1	3.58	0.0
lig_11299-1	1.17	0.0
lig_14496-1	5.59	0.0
lig_35138-1	7.11	0.0
lig_10935-1	3.5900000000000003	0.0
lig_34370-1	1.5500000000000003	0.01
lig_3283-1	2.3600000000000003	0.01
lig_20702-6	3.2	0.01
lig_36898-1	2.4800000000000004	0.01
lig_22031-1	0.4700000000000002	0.01
lig_37247-2	-1.4300000000000002	0.01
lig_27557-1	1.56	0.01
lig_30432-1	3.8400000000000003	0.01
lig_19285-2	9.13	0.01
lig_41930-1	3.47	0.01
lig_22034-1	3.6	0.01
lig_36504-1	0.5700000000000003	0.01
lig_35646-1	1.4900000000000002	0.01
lig_20771-1	3.3400000000000003	0.01
lig_10686-1	1.4700000000000002	0.01
lig_17750-1	0.14000000000000012	0.01
lig_20772-2	4.6	0.01
lig_9124-1	-1.9300000000000002	0.01
lig_36661-2	2.47	0.01
lig_30807-1	0.010000000000000231	0.01
lig_28463-1	-0.9700000000000002	0.01
lig_14886-1	1.46	0.01
lig_11363-1	4.53	0.01
lig_39667-1	3.83	0.01
lig_20062-1	2.1100000000000003	0.01
lig_38150-2	2.62	0.0
lig_38150-1	3.48	0.0
lig_42554-2	4.24	0.01
lig_11965-1	-0.6999999999999997	0.01
lig_2936-2	-0.9199999999999995	0.01
lig_27499-1	-0.08999999999999986	0.01
lig_42723-2	1.3900000000000001	0.01
lig_23900-1	1.5900000000000003	0.01
lig_36218-1	1.6800000000000002	0.01
lig_11366-2	1.06	0.01
lig_35647-1	3.3200000000000003	0.01
lig_25252-1	4.98	0.01
lig_5719-1	-0.29000000000000004	0.01
lig_3216-1	3.89	0.01
lig_15014-1	-2.0900000000000003	0.01
lig_7112-1	0.8999999999999999	0.01
lig_44523-1	-0.06999999999999984	0.01
lig_3109-2	0.8999999999999999	0.01
lig_29260-1	3.3600000000000003	0.01
lig_39967-2	4.5	0.01
lig_4321-1	2.62	0.0
lig_2716-1	5.82	0.0
lig_15816-3	2.17	0.01
lig_26765-2	5.99	0.01
lig_15339-1	6.92	0.0
lig_3446-1	4.5200000000000005	0.01
lig_10504-1	2.8200000000000003	0.01
lig_8144-1	5.890000000000001	0.01
lig_34976-1	3.1500000000000004	0.01
lig_29657-1	4.15	0.0
lig_1917-2	5.0600000000000005	0.0
lig_3102-1	5.58	0.0
lig_2142-2	4.5	0.01
lig_10499-1	3.94	0.0
lig_3790-1	2.98	0.0
lig_3371-1	2.55	0.0
lig_24964-2	2.27	0.0
lig_2177-1	6.53	0.0
lig_10315-1	5.51	0.0
lig_24948-2	1.6500000000000001	0.01
lig_3712-2	8.94	0.01
lig_19737-2	4.87	0.01
lig_21098-1	5.7	0.01
lig_9296-1	0.8500000000000001	0.0
lig_26776-1	7.890000000000001	0.01
lig_27582-1	6.1899999999999995	0.01
lig_14713-1	5.02	0.01
lig_24439-1	5.02	0.01
lig_15107-2	5.04	0.0
lig_16601-3	3.92	0.01
lig_24938-1	2.7800000000000002	0.01
lig_43197-1	12.790000000000001	0.01
lig_3685-1	3.66	0.0
lig_39331-1	2.22	0.0
lig_10504-5	1.06	0.01
lig_4556-1	6.12	0.0
lig_43640-1	6.29	0.01
lig_39175-1	4.48	0.01
lig_20797-3	2.06	0.01
lig_8399-1	1.23	0.01
lig_27620-1	4.36	0.01
lig_20730-1	3.8400000000000003	0.01
lig_16395-1	3.62	0.01
lig_4044-1	6.83	0.01
lig_9412-1	3.6	0.0
lig_29611-1	10.870000000000001	0.01
lig_29195-1	1.9000000000000001	0.0
lig_26586-1	2.97	0.0
lig_5675-1	3.71	0.0
lig_45240-1	5.11	0.01
lig_38906-2	5.0600000000000005	0.01
lig_13333-1	5.83	0.0
lig_4633-1	5.43	0.0
lig_38152-1	6.33	0.01
lig_16626-1	0.5800000000000001	0.01
lig_10202-1	2.55	0.0
lig_24905-2	0.020000000000000018	0.01
lig_24446-1	6.800000000000001	0.01
lig_20730-2	3.14	0.01
lig_40959-1	3.22	0.0
lig_39331-2	3.16	0.0
lig_19265-1	4.38	0.0
lig_21338-1	5.37	0.0
lig_29872-2	4.47	0.0
lig_21837-2	4.96	0.01
lig_27105-2	6.51	0.01
lig_40031-1	5.54	0.01
lig_27105-1	5.220000000000001	0.01
lig_21122-1	1.9300000000000002	0.02
lig_21927-2	8.05	0.0
lig_14521-1	4.8100000000000005	0.0
lig_2137-2	5.91	0.0
lig_18861-1	1.7500000000000002	0.0
lig_39844-1	4.45	0.01
lig_14528-2	3.13	0.01
lig_2145-1	5.07	0.01
lig_36660-1	5.53	0.01
lig_25900-1	2.45	0.0
lig_3438-1	4.5	0.0
lig_1524-1	4.3100000000000005	0.0
lig_39865-1	3.6300000000000003	0.0
lig_12276-1	9.76	0.01
lig_2141-1	3.58	0.0
lig_6706-1	1.6600000000000001	0.0
lig_27644-2	4.51	0.01
lig_44904-2	3.8600000000000003	0.0
lig_14057-1	5.78	0.0
lig_2162-1	4.49	0.0
lig_11063-2	2.2	0.0
lig_15472-1	7.4399999999999995	0.01
lig_21314-1	3.6100000000000003	0.0
lig_16343-1	4.19	0.01
lig_16346-1	3.93	0.0
lig_44143-2	4.71	0.01
lig_31237-4	6.33	0.01
lig_18148-2	1.0900000000000003	0.0
lig_38113-1	4.38	0.0
lig_20699-1	3.5500000000000003	0.0
lig_17754-1	3.91	0.0
lig_15694-1	4.37	0.01
lig_27168-4	4.34	0.01
lig_35998-1	4.73	0.0
lig_37888-1	3.71	0.01
lig_36078-2	2.98	0.01
lig_13696-1	6.08	0.01
lig_15335-1	3.6	0.01
lig_15847-1	4.41	0.0
lig_38254-1	3.13	0.0
lig_8858-2	3.58	0.0
lig_7261-1	5.09	0.0
lig_37891-1	3.45	0.01
lig_1373-1	2.31	0.0
lig_15482-1	6.3100000000000005	0.01
lig_9413-1	4.92	0.0
lig_39834-1	5.11	0.01
lig_17693-1	5.48	0.01
lig_1536-1	5.43	0.01
lig_19260-2	4.5200000000000005	0.01
lig_16598-3	4.23	0.01
lig_38256-1	3.08	0.01
lig_29853-2	1.3800000000000003	0.01
lig_17916-2	4.970000000000001	0.01
lig_41138-3	1.8	0.01
lig_29867-2	11.43	0.01
lig_29535-4	3.91	0.01
lig_43645-1	2.96	0.01
lig_17921-4	1.3400000000000003	0.01
lig_14128-1	1.1300000000000003	0.01
lig_17921-3	1.5300000000000002	0.0
lig_43864-1	2.74	0.01
lig_20798-3	5.01	0.0
lig_24186-2	2.2600000000000002	0.0
lig_3655-1	5.32	0.01
lig_24950-4	5.12	0.01
lig_28735-1	3.46	0.01
lig_44916-2	6.99	0.01
lig_44666-1	-0.1599999999999997	0.01
lig_30137-2	3.72	0.01
lig_1685-1	3.37	0.01
lig_14128-2	4.94	0.01
lig_39-1	2.68	0.01
lig_17916-4	2.6100000000000003	0.01
lig_13537-2	3.64	0.01
lig_2329-1	4.25	0.01
lig_1610-1	2.96	0.01
lig_10548-1	5.42	0.0
lig_24938-2	4.51	0.01
lig_44714-1	-0.9999999999999996	0.01
lig_28186-1	2.39	0.01
lig_16260-1	4.95	0.01
lig_37238-1	5.880000000000001	0.0
lig_10842-1	0.54	0.0
lig_14122-1	4.69	0.0
lig_26765-1	4.7	0.01
lig_659-1	1.9100000000000001	0.0
lig_27608-2	2.05	0.0
lig_27611-2	3.74	0.0
lig_18145-2	3.0300000000000002	0.0
lig_30367-1	8.14	0.01
lig_27612-4	4.95	0.01
lig_2560-1	2.85	0.0
lig_21286-2	3.0500000000000003	0.0
lig_1709-1	4.66	0.0
lig_15511-1	6.12	0.0
lig_21286-4	3.71	0.0
lig_23017-1	7.67	0.01
lig_14069-1	1.6500000000000001	0.01
lig_29643-1	3.45	0.0
lig_7511-1	4.37	0.01
lig_15511-2	4.84	0.01
lig_38557-1	6.27	0.01
lig_24546-1	2.8200000000000003	0.0
lig_16836-1	4.26	0.01
lig_4814-1	2.5	0.0
lig_16626-2	2.64	0.01
lig_11063-1	0.73	0.01
lig_37891-2	3.7600000000000002	0.0
lig_35181-6	3.65	0.01
lig_5952-1	5.49	0.0
