,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
1320,edge_lig_14876-4_lig_182-1_run1_protein,-34.01,0.27,0.2,-34.51,0.14,0.38,80,80,default
1321,edge_lig_14876-4_lig_182-1_run1_water,-36.42,0.11,0.09,-36.37,0.11,0.12,80,80,default
3568,edge_lig_21641-1_lig_182-1_run1_protein,36.8,0.25,0.2,37.11,0.22,0.22,80,71,default
3569,edge_lig_21641-1_lig_182-1_run1_water,40.61,0.11,0.11,40.62,0.14,0.14,80,67,default
2548,edge_lig_182-1_lig_39967-1_run1_protein,-48.91,0.36,0.42,-49.81,0.53,0.64,80,80,default
2549,edge_lig_182-1_lig_39967-1_run1_water,-45.73,0.11,0.13,-45.74,0.12,0.11,80,75,default
2546,edge_lig_182-1_lig_3514-1_run1_protein,19.06,0.19,0.21,19.06,0.24,0.24,80,80,default
2547,edge_lig_182-1_lig_3514-1_run1_water,19.8,0.09,0.09,19.79,0.1,0.11,80,80,default
2924,edge_lig_41138-4_lig_182-1_run1_protein,-22.39,0.51,0.49,-22.94,0.82,0.91,80,80,05fs
2925,edge_lig_41138-4_lig_182-1_run1_water,-22.83,0.13,0.13,-22.74,0.13,0.14,80,80,05fs
2542,edge_lig_182-1_lig_17905-1_run1_protein,-42.14,0.4,0.37,-42.18,0.49,1.02,80,80,default
2543,edge_lig_182-1_lig_17905-1_run1_water,-41.46,0.1,0.1,-41.41,0.14,0.12,80,80,default
362,edge_lig_10839-1_lig_182-1_run1_protein,-21.83,0.32,0.27,-22.12,0.38,0.42,80,80,default
363,edge_lig_10839-1_lig_182-1_run1_water,-24.02,0.11,0.13,-23.92,0.11,0.1,80,80,default
2552,edge_lig_182-1_lig_4357-1_run1_protein,-18.61,0.42,0.38,-18.72,0.59,0.6,77,78,default
2553,edge_lig_182-1_lig_4357-1_run1_water,-21.14,0.11,0.11,-21.16,0.1,0.12,70,80,default
1282,edge_lig_27098-1_lig_182-1_run1_protein,15.92,0.44,0.41,14.61,0.36,2.0,80,80,05fs
1283,edge_lig_27098-1_lig_182-1_run1_water,16.34,0.17,0.15,16.37,0.18,0.16,80,80,05fs
1366,edge_lig_14989-1_lig_182-1_run1_protein,18.3,0.61,0.65,16.74,0.48,1.87,80,80,default
1367,edge_lig_14989-1_lig_182-1_run1_water,17.3,0.15,0.16,17.29,0.15,0.19,80,80,default
1288,edge_lig_14828-1_lig_182-1_run1_protein,0.13,0.32,0.27,0.25,0.33,0.4,80,80,default
1289,edge_lig_14828-1_lig_182-1_run1_water,-0.43,0.11,0.12,-0.31,0.14,0.14,80,80,default
2540,edge_lig_182-1_lig_15485-1_run1_protein,70.74,0.25,0.28,71.1,0.37,0.45,80,80,default
2541,edge_lig_182-1_lig_15485-1_run1_water,69.2,0.12,0.12,69.22,0.11,0.13,80,80,default
3026,edge_lig_41644-2_lig_182-1_run1_protein,-23.85,0.33,0.26,-24.02,0.39,0.55,80,80,05fs
3027,edge_lig_41644-2_lig_182-1_run1_water,-25.11,0.1,0.1,-25.09,0.12,0.13,80,80,05fs
1988,edge_lig_16598-4_lig_182-1_run1_protein,36.94,0.59,0.64,35.7,0.58,8.05,80,80,default
1989,edge_lig_16598-4_lig_182-1_run1_water,37.89,0.16,0.17,37.93,0.22,0.19,79,80,default
1708,edge_lig_29605-2_lig_182-1_run1_protein,44.59,0.38,0.34,44.21,0.42,0.63,80,80,05fs
1709,edge_lig_29605-2_lig_182-1_run1_water,49.82,0.19,0.17,49.75,0.21,0.2,80,80,05fs
1706,edge_lig_29605-1_lig_182-1_run1_protein,40.35,0.55,0.47,39.24,0.43,4.07,80,80,05fs
1707,edge_lig_29605-1_lig_182-1_run1_water,40.98,0.18,0.18,40.84,0.14,0.23,80,80,05fs
1712,edge_lig_29605-3_lig_182-1_run1_protein,44.2,0.49,0.48,42.14,0.3,2.67,80,80,05fs
1713,edge_lig_29605-3_lig_182-1_run1_water,44.59,0.14,0.15,44.65,0.19,0.15,80,80,05fs
2242,edge_lig_35181-4_lig_182-1_run1_protein,28.71,0.75,0.71,28.33,0.48,13.26,80,80,05fs
2243,edge_lig_35181-4_lig_182-1_run1_water,29.1,0.16,0.19,29.17,0.23,0.16,80,80,05fs
2058,edge_lig_16635-2_lig_182-1_run1_protein,44.19,0.71,0.72,39.96,0.42,33.97,80,80,default
2059,edge_lig_16635-2_lig_182-1_run1_water,37.99,0.18,0.19,38.16,0.22,0.17,53,80,default
1568,edge_lig_27976-1_lig_182-1_run1_protein,-0.11,0.47,0.47,-0.98,0.37,1.19,80,80,05fs
1569,edge_lig_27976-1_lig_182-1_run1_water,0.51,0.15,0.16,0.44,0.2,0.17,80,80,05fs
830,edge_lig_21488-2_lig_182-1_run1_protein,22.9,0.54,0.41,22.84,0.42,1.96,80,80,05fs
831,edge_lig_21488-2_lig_182-1_run1_water,25.83,0.15,0.19,25.68,0.22,0.14,80,80,05fs
1312,edge_lig_27396-2_lig_182-1_run1_protein,4.59,0.34,0.37,4.86,0.36,0.31,80,80,05fs
1313,edge_lig_27396-2_lig_182-1_run1_water,4.11,0.22,0.22,3.76,0.32,0.19,80,80,05fs
122,edge_lig_10504-6_lig_182-1_run1_protein,-0.27,0.33,0.32,0.27,0.61,0.58,80,80,default
123,edge_lig_10504-6_lig_182-1_run1_water,1.28,0.17,0.13,1.32,0.11,0.18,80,80,default
2252,edge_lig_35181-8_lig_182-1_run1_protein,29.75,0.55,0.69,27.68,0.91,1.12,80,80,05fs
2253,edge_lig_35181-8_lig_182-1_run1_water,29.11,0.16,0.14,29.1,0.15,0.14,80,80,05fs
882,edge_lig_13810-1_lig_182-1_run1_protein,35.07,0.62,0.56,34.41,0.35,1.67,46,80,default
883,edge_lig_13810-1_lig_182-1_run1_water,36.63,0.22,0.22,36.88,0.22,0.16,66,70,default
2554,edge_lig_182-1_lig_44002-3_run1_protein,24.59,0.61,0.53,27.05,0.28,35.88,80,80,default
2555,edge_lig_182-1_lig_44002-3_run1_water,21.36,0.15,0.22,21.39,0.25,0.19,78,80,default
2360,edge_lig_3568-1_lig_182-1_run1_protein,20.27,0.22,0.2,20.19,0.36,0.26,80,80,05fs
2361,edge_lig_3568-1_lig_182-1_run1_water,19.26,0.08,0.09,19.34,0.1,0.1,80,80,05fs
1300,edge_lig_2733-1_lig_182-1_run1_protein,-7.2,0.48,0.42,-7.41,0.57,0.91,80,80,05fs
1301,edge_lig_2733-1_lig_182-1_run1_water,-6.18,0.12,0.13,-6.01,0.15,0.11,80,80,05fs
2544,edge_lig_182-1_lig_18799-1_run1_protein,-58.46,0.58,0.66,-58.81,0.94,0.8,80,58,default
2545,edge_lig_182-1_lig_18799-1_run1_water,-61.91,0.18,0.16,-62.18,0.19,0.13,61,73,default
2550,edge_lig_182-1_lig_42003-1_run1_protein,-34.45,0.67,0.7,-34.88,1.62,0.82,76,74,default
2551,edge_lig_182-1_lig_42003-1_run1_water,-35.0,0.16,0.16,-35.13,0.19,0.17,76,61,default
3468,edge_lig_21342-1_lig_182-1_run1_protein,26.97,0.62,0.63,26.08,0.4,9.42,80,80,default
3469,edge_lig_21342-1_lig_182-1_run1_water,28.32,0.11,0.12,28.42,0.14,0.11,80,78,default
1736,edge_lig_15807-1_lig_182-1_run1_protein,84.9,0.65,0.63,80.13,0.32,41.36,80,74,default
1737,edge_lig_15807-1_lig_182-1_run1_water,81.28,0.2,0.2,81.19,0.29,0.21,75,78,default
2708,edge_lig_3862-1_lig_182-1_run1_protein,51.02,0.6,0.45,49.8,0.38,3.78,80,55,05fs
2709,edge_lig_3862-1_lig_182-1_run1_water,51.36,0.23,0.21,51.16,0.24,0.17,80,80,05fs
3466,edge_lig_21341-1_lig_182-1_run1_protein,70.68,0.64,0.7,70.54,0.84,1.84,80,78,default
3467,edge_lig_21341-1_lig_182-1_run1_water,68.82,0.17,0.17,68.79,0.23,0.16,76,75,default
3116,edge_lig_42598-1_lig_182-1_run1_protein,22.95,1.04,1.04,22.49,0.44,244.31,80,80,05fs
3117,edge_lig_42598-1_lig_182-1_run1_water,28.09,0.21,0.2,28.05,0.32,0.21,80,80,05fs
2604,edge_lig_37772-2_lig_182-1_run1_protein,-22.44,0.41,0.43,-22.87,0.44,0.59,80,80,05fs
2605,edge_lig_37772-2_lig_182-1_run1_water,-27.36,0.15,0.15,-27.07,0.14,0.13,80,80,05fs
2224,edge_lig_34976-2_lig_182-1_run1_protein,11.65,0.63,0.55,10.67,0.28,22.66,80,80,05fs
2225,edge_lig_34976-2_lig_182-1_run1_water,10.49,0.17,0.19,10.45,0.22,0.23,80,80,05fs
3360,edge_lig_4465-2_lig_182-1_run1_protein,-15.44,0.77,0.82,-16.82,0.53,24.1,80,80,05fs
3361,edge_lig_4465-2_lig_182-1_run1_water,-17.77,0.21,0.2,-17.63,0.27,0.24,80,80,05fs
2090,edge_lig_33362-1_lig_182-1_run1_protein,11.45,0.69,0.87,6.95,0.28,159.06,80,80,05fs
2091,edge_lig_33362-1_lig_182-1_run1_water,1.58,0.17,0.19,1.54,0.22,0.19,80,80,05fs
3038,edge_lig_41752-1_lig_182-1_run1_protein,-3.22,0.91,0.73,-6.58,0.56,206.93,80,80,05fs
3039,edge_lig_41752-1_lig_182-1_run1_water,-10.73,0.2,0.17,-10.75,0.2,0.22,80,80,05fs
524,edge_lig_11344-2_lig_182-1_run1_protein,-8.57,0.45,0.44,-9.07,0.34,1.66,80,71,default
525,edge_lig_11344-2_lig_182-1_run1_water,-7.11,0.13,0.14,-7.0,0.16,0.13,80,75,default
1704,edge_lig_29596-2_lig_182-1_run1_protein,-22.03,1.02,1.16,-23.86,1.22,23.77,80,80,05fs
1705,edge_lig_29596-2_lig_182-1_run1_water,-21.17,0.31,0.26,-21.54,0.44,0.39,80,80,05fs
3098,edge_lig_42436-1_lig_182-1_run1_protein,-9.55,0.3,0.25,-9.34,0.27,0.32,80,80,05fs
3099,edge_lig_42436-1_lig_182-1_run1_water,-9.35,0.17,0.2,-9.08,0.13,0.09,80,80,05fs
1238,edge_lig_14694-1_lig_182-1_run1_protein,6.09,0.27,0.3,6.6,0.22,0.3,80,80,default
1239,edge_lig_14694-1_lig_182-1_run1_water,5.44,0.16,0.12,5.56,0.14,0.11,72,80,default
3820,edge_lig_22072-1_lig_182-1_run1_protein,30.81,0.58,0.6,30.91,0.74,0.57,45,80,default
3821,edge_lig_22072-1_lig_182-1_run1_water,34.01,0.16,0.17,34.16,0.22,0.14,64,77,default
2698,edge_lig_3839-1_lig_182-1_run1_protein,-33.28,0.92,0.8,-34.41,0.88,12.04,80,80,05fs
2699,edge_lig_3839-1_lig_182-1_run1_water,-26.78,0.24,0.21,-26.81,0.33,0.27,80,80,05fs
2018,edge_lig_32276-3_lig_182-1_run1_protein,-25.25,0.78,0.64,-23.13,1.92,1.66,80,78,05fs
2019,edge_lig_32276-3_lig_182-1_run1_water,-25.99,0.17,0.17,-25.97,0.16,0.22,80,80,05fs
3216,edge_lig_43351-1_lig_182-1_run1_protein,-5.35,0.57,0.64,-6.43,0.96,3.21,80,80,05fs
3217,edge_lig_43351-1_lig_182-1_run1_water,-5.15,0.19,0.16,-5.1,0.19,0.17,80,80,05fs
1892,edge_lig_16334-1_lig_20758-1_run1_protein,0.65,0.33,0.33,0.27,0.36,0.37,65,77,default
1893,edge_lig_16334-1_lig_20758-1_run1_water,-0.66,0.2,0.18,-0.5,0.19,0.11,69,77,default
1894,edge_lig_16334-1_lig_32453-1_run1_protein,-46.57,0.38,0.56,-47.06,0.82,0.6,80,39,default
1895,edge_lig_16334-1_lig_32453-1_run1_water,-45.58,0.13,0.14,-45.29,0.11,0.09,70,69,default
1654,edge_lig_15552-1_lig_16334-1_run1_protein,25.77,0.29,0.33,25.79,0.56,0.34,40,80,default
1655,edge_lig_15552-1_lig_16334-1_run1_water,24.89,0.15,0.21,24.88,0.12,0.12,24,80,default
1888,edge_lig_16334-1_lig_20693-1_run1_protein,15.66,0.55,0.64,14.89,0.78,0.39,30,19,default
1889,edge_lig_16334-1_lig_20693-1_run1_water,12.84,0.27,0.24,13.68,0.14,0.12,20,80,default
2466,edge_lig_36659-1_lig_16334-1_run1_protein,62.58,0.44,0.4,63.04,0.81,0.57,80,80,05fs
2467,edge_lig_36659-1_lig_16334-1_run1_water,61.9,0.12,0.12,61.74,0.13,0.11,80,80,05fs
1890,edge_lig_16334-1_lig_20754-3_run1_protein,-14.33,0.85,1.3,-12.52,1.82,0.88,80,80,default
1891,edge_lig_16334-1_lig_20754-3_run1_water,-10.29,0.25,0.19,-10.06,0.24,0.23,80,76,default
3210,edge_lig_20772-1_lig_16334-1_run1_protein,14.94,0.56,0.69,14.56,0.57,0.71,80,80,default
3211,edge_lig_20772-1_lig_16334-1_run1_water,13.53,0.32,0.5,12.93,0.58,0.44,73,78,default
3638,edge_lig_7127-2_lig_16334-1_run1_protein,6.1,0.3,0.32,5.63,0.3,0.33,80,80,05fs
3639,edge_lig_7127-2_lig_16334-1_run1_water,6.33,0.1,0.08,6.21,0.09,0.1,80,80,05fs
3728,edge_lig_8384-1_lig_16334-1_run1_protein,48.87,0.37,0.32,49.29,0.35,0.46,80,80,05fs
3729,edge_lig_8384-1_lig_16334-1_run1_water,45.61,0.12,0.11,45.57,0.12,0.13,80,80,05fs
1374,edge_lig_27561-1_lig_16334-1_run1_protein,-25.1,0.48,0.59,-27.33,0.37,3.15,80,80,05fs
1375,edge_lig_27561-1_lig_16334-1_run1_water,-29.08,0.11,0.12,-28.97,0.16,0.14,80,80,05fs
408,edge_lig_16334-1_lig_17260-1_run1_protein,-52.19,0.76,0.69,-51.88,0.32,20.77,80,80,05fs
409,edge_lig_16334-1_lig_17260-1_run1_water,-50.98,0.16,0.17,-51.17,0.21,0.18,80,80,05fs
2178,edge_lig_17305-2_lig_16334-1_run1_protein,23.34,0.21,0.24,23.7,0.29,0.21,73,79,default
2179,edge_lig_17305-2_lig_16334-1_run1_water,23.13,0.11,0.1,23.11,0.12,0.12,78,80,default
1192,edge_lig_14594-1_lig_16334-1_run1_protein,9.53,0.63,0.67,9.6,0.43,2.27,74,80,default
1193,edge_lig_14594-1_lig_16334-1_run1_water,9.07,0.18,0.21,8.56,0.22,0.16,69,80,default
3446,edge_lig_21334-1_lig_20758-6_run1_protein,65.27,0.77,0.7,65.97,0.84,1.98,66,80,default
3447,edge_lig_21334-1_lig_20758-6_run1_water,63.41,0.45,0.42,62.93,0.2,0.16,26,70,default
740,edge_lig_20758-6_lig_25919-1_run1_protein,-29.52,1.91,1.8,-26.88,0.44,0.18,80,80,05fs
741,edge_lig_20758-6_lig_25919-1_run1_water,-31.0,0.35,0.62,-31.57,1.09,0.45,80,80,05fs
738,edge_lig_20758-6_lig_20747-2_run1_protein,8.8,2.7,2.6,13.53,0.62,0.23,80,80,05fs
739,edge_lig_20758-6_lig_20747-2_run1_water,10.81,0.94,1.32,10.98,0.84,0.48,80,80,05fs
218,edge_lig_10694-1_lig_20758-6_run1_protein,30.83,0.62,0.62,31.99,0.63,8.22,74,80,default
219,edge_lig_10694-1_lig_20758-6_run1_water,30.56,0.13,0.13,30.52,0.19,0.14,62,80,default
3734,edge_lig_8384-1_lig_20746-1_run1_protein,6.75,0.33,0.28,7.1,0.33,0.9,80,80,05fs
3735,edge_lig_8384-1_lig_20746-1_run1_water,5.79,0.15,0.15,5.94,0.16,0.12,80,80,05fs
1896,edge_lig_30805-2_lig_20746-1_run1_protein,-9.15,0.58,0.55,-8.28,0.4,5.07,80,80,05fs
1897,edge_lig_30805-2_lig_20746-1_run1_water,-7.79,0.12,0.13,-7.7,0.15,0.14,80,80,05fs
3108,edge_lig_20746-1_lig_8432-1_run1_protein,-10.07,0.96,1.07,-9.69,1.12,13.34,80,57,default
3109,edge_lig_20746-1_lig_8432-1_run1_water,-9.46,0.14,0.14,-9.44,0.16,0.17,58,80,default
1392,edge_lig_27565-2_lig_27566-1_run1_protein,-0.8,0.14,0.15,-0.78,0.18,0.21,80,80,05fs
1393,edge_lig_27565-2_lig_27566-1_run1_water,-2.94,0.1,0.11,-2.93,0.1,0.1,80,72,05fs
1386,edge_lig_27565-2_lig_17688-1_run1_protein,-38.98,0.45,0.43,-40.15,0.23,6.95,80,80,05fs
1387,edge_lig_27565-2_lig_17688-1_run1_water,-40.6,0.16,0.16,-40.25,0.15,0.11,80,80,05fs
1388,edge_lig_27565-2_lig_20706-1_run1_protein,15.02,0.42,0.51,14.71,1.09,0.51,80,80,05fs
1389,edge_lig_27565-2_lig_20706-1_run1_water,13.67,0.33,0.28,14.19,0.29,0.15,80,80,05fs
1394,edge_lig_27565-2_lig_30805-1_run1_protein,-47.38,0.39,0.39,-47.12,0.29,0.53,80,80,05fs
1395,edge_lig_27565-2_lig_30805-1_run1_water,-49.93,0.19,0.22,-49.25,0.18,0.12,80,80,05fs
1390,edge_lig_27565-2_lig_2739-2_run1_protein,-50.12,0.46,0.44,-49.82,0.55,1.16,80,80,05fs
1391,edge_lig_27565-2_lig_2739-2_run1_water,-52.92,0.16,0.19,-52.84,0.21,0.15,80,80,05fs
3240,edge_lig_20774-6_lig_20758-5_run1_protein,-14.92,0.19,0.2,-14.54,0.2,0.16,55,80,default
3241,edge_lig_20774-6_lig_20758-5_run1_water,-14.8,0.17,0.19,-15.08,0.09,0.08,47,80,default
1338,edge_lig_14914-1_lig_20758-5_run1_protein,6.69,0.51,0.36,7.2,0.42,1.44,66,80,default
1339,edge_lig_14914-1_lig_20758-5_run1_water,5.41,0.22,0.21,5.24,0.16,0.13,62,70,default
3154,edge_lig_20758-5_lig_5718-1_run1_protein,-12.66,0.24,0.23,-12.78,0.29,0.3,80,80,default
3155,edge_lig_20758-5_lig_5718-1_run1_water,-10.43,0.2,0.16,-10.16,0.18,0.13,80,48,default
2250,edge_lig_17694-1_lig_20758-5_run1_protein,33.47,0.4,0.41,32.66,0.76,0.73,79,80,default
2251,edge_lig_17694-1_lig_20758-5_run1_water,31.39,0.28,0.28,31.84,0.19,0.14,23,55,default
2182,edge_lig_17305-2_lig_20758-5_run1_protein,14.78,0.33,0.36,15.47,0.28,0.45,79,80,default
2183,edge_lig_17305-2_lig_20758-5_run1_water,15.23,0.14,0.13,15.04,0.18,0.14,66,80,default
1624,edge_lig_15546-1_lig_20758-1_run1_protein,41.15,0.49,0.47,41.95,0.25,6.89,63,79,default
1625,edge_lig_15546-1_lig_20758-1_run1_water,38.56,0.15,0.15,38.46,0.19,0.14,55,80,default
1154,edge_lig_25919-2_lig_20758-1_run1_protein,38.89,0.5,0.5,40.49,0.46,0.34,79,80,05fs
1155,edge_lig_25919-2_lig_20758-1_run1_water,43.16,0.57,0.65,44.96,0.71,0.36,79,80,05fs
3152,edge_lig_20758-1_lig_16357-2_run1_protein,-9.79,0.39,0.41,-10.07,0.29,1.41,80,67,default
3153,edge_lig_20758-1_lig_16357-2_run1_water,-7.55,0.28,0.29,-7.42,0.43,0.32,80,11,default
3758,edge_lig_8423-1_lig_20758-1_run1_protein,46.32,0.36,0.38,45.69,0.38,0.47,80,80,05fs
3759,edge_lig_8423-1_lig_20758-1_run1_water,47.35,0.15,0.16,47.28,0.13,0.12,80,80,05fs
432,edge_lig_16509-1_lig_20746-4_run1_protein,3.9,0.25,0.23,3.8,0.25,0.13,80,80,05fs
433,edge_lig_16509-1_lig_20746-4_run1_water,0.12,0.23,0.21,-0.11,0.23,0.13,80,80,05fs
1762,edge_lig_29840-1_lig_20746-4_run1_protein,-29.67,0.48,0.53,-29.03,0.86,0.74,80,80,05fs
1763,edge_lig_29840-1_lig_20746-4_run1_water,-31.02,0.1,0.1,-31.0,0.12,0.12,80,80,05fs
2804,edge_lig_19291-1_lig_20746-4_run1_protein,13.59,0.75,0.64,12.99,0.63,0.58,65,14,default
2805,edge_lig_19291-1_lig_20746-4_run1_water,6.97,0.12,0.13,7.09,0.13,0.12,75,71,default
188,edge_lig_10683-1_lig_20746-4_run1_protein,-54.99,0.43,0.38,-55.24,0.54,0.54,78,48,default
189,edge_lig_10683-1_lig_20746-4_run1_water,-55.42,0.15,0.14,-55.43,0.16,0.14,71,76,default
2758,edge_lig_19260-1_lig_20714-3_run1_protein,17.8,0.34,0.27,17.56,0.32,0.41,80,80,default
2759,edge_lig_19260-1_lig_20714-3_run1_water,16.82,0.17,0.15,16.83,0.22,0.19,80,80,default
2534,edge_lig_37083-2_lig_20714-3_run1_protein,41.97,0.37,0.5,41.56,1.02,0.74,80,80,05fs
2535,edge_lig_37083-2_lig_20714-3_run1_water,41.5,0.21,0.2,41.72,0.18,0.29,80,80,05fs
3226,edge_lig_20774-1_lig_23901-1_run1_protein,-45.86,0.47,0.4,-46.66,0.62,1.07,79,79,default
3227,edge_lig_20774-1_lig_23901-1_run1_water,-43.08,0.19,0.25,-42.45,0.27,0.17,78,58,default
3230,edge_lig_20774-1_lig_2949-1_run1_protein,-16.51,0.13,0.16,-16.41,0.16,0.13,80,80,default
3231,edge_lig_20774-1_lig_2949-1_run1_water,-13.28,0.2,0.17,-13.44,0.19,0.13,72,59,default
3232,edge_lig_20774-1_lig_7103-1_run1_protein,-32.71,0.38,0.38,-32.95,0.42,0.37,72,21,default
3233,edge_lig_20774-1_lig_7103-1_run1_water,-30.14,0.21,0.26,-30.04,0.17,0.14,66,36,default
3228,edge_lig_20774-1_lig_2714-1_run1_protein,-58.85,0.56,0.62,-57.85,0.61,0.86,79,79,default
3229,edge_lig_20774-1_lig_2714-1_run1_water,-56.12,0.21,0.18,-56.28,0.21,0.18,78,55,default
3000,edge_lig_20714-6_lig_21812-1_run1_protein,-45.21,0.36,0.72,-44.97,0.85,0.57,38,61,default
3001,edge_lig_20714-6_lig_21812-1_run1_water,-44.57,0.12,0.15,-44.45,0.21,0.14,71,70,default
700,edge_lig_20714-6_lig_25919-1_run1_protein,-56.54,0.43,0.39,-56.22,0.54,0.55,80,80,05fs
701,edge_lig_20714-6_lig_25919-1_run1_water,-55.22,0.26,0.25,-55.19,0.16,0.11,80,80,05fs
698,edge_lig_20714-6_lig_16357-2_run1_protein,-28.1,1.55,1.26,-27.05,0.25,0.15,80,72,05fs
699,edge_lig_20714-6_lig_16357-2_run1_water,-26.3,0.34,0.53,-27.89,0.28,0.23,80,71,05fs
2998,edge_lig_20714-6_lig_20750-2_run1_protein,-1.96,0.22,0.23,-2.37,0.24,0.19,80,80,default
2999,edge_lig_20714-6_lig_20750-2_run1_water,0.05,0.23,0.18,0.56,0.21,0.14,79,80,default
1938,edge_lig_16357-1_lig_20714-1_run1_protein,16.81,0.32,0.32,17.21,0.48,0.55,66,80,default
1939,edge_lig_16357-1_lig_20714-1_run1_water,14.43,0.13,0.14,14.06,0.13,0.13,60,80,default
1146,edge_lig_25919-1_lig_20714-1_run1_protein,54.36,1.15,1.57,57.92,0.64,0.31,71,80,05fs
1147,edge_lig_25919-1_lig_20714-1_run1_water,58.39,0.52,1.86,61.24,0.37,0.29,71,80,05fs
466,edge_lig_17268-1_lig_20714-1_run1_protein,71.47,0.58,0.58,72.53,0.89,0.53,73,76,05fs
467,edge_lig_17268-1_lig_20714-1_run1_water,78.23,0.53,0.75,81.6,0.44,0.26,70,80,05fs
3536,edge_lig_5714-1_lig_20714-1_run1_protein,66.58,0.5,0.39,66.56,0.21,1.9,80,80,05fs
3537,edge_lig_5714-1_lig_20714-1_run1_water,66.37,0.21,0.17,66.96,0.18,0.15,80,80,05fs
152,edge_lig_10541-1_lig_5718-2_run1_protein,-5.58,0.22,0.21,-5.71,0.2,0.24,80,77,default
153,edge_lig_10541-1_lig_5718-2_run1_water,-6.16,0.13,0.12,-6.24,0.14,0.15,80,80,default
140,edge_lig_10541-1_lig_16199-1_run1_protein,-31.23,0.16,0.13,-30.9,0.15,0.13,80,80,default
141,edge_lig_10541-1_lig_16199-1_run1_water,-31.01,0.13,0.12,-31.04,0.13,0.14,80,79,default
138,edge_lig_10541-1_lig_11368-2_run1_protein,-145.42,0.54,0.64,-144.41,0.92,0.72,80,80,default
139,edge_lig_10541-1_lig_11368-2_run1_water,-146.98,0.17,0.18,-147.07,0.17,0.18,80,80,default
142,edge_lig_10541-1_lig_20693-1_run1_protein,28.61,0.5,0.46,28.72,0.36,0.85,80,80,default
143,edge_lig_10541-1_lig_20693-1_run1_water,24.04,0.22,0.27,24.3,0.36,0.32,80,78,default
146,edge_lig_10541-1_lig_22030-1_run1_protein,-71.23,0.39,0.35,-71.44,0.58,0.45,80,80,default
147,edge_lig_10541-1_lig_22030-1_run1_water,-73.39,0.19,0.15,-73.31,0.18,0.2,80,80,default
144,edge_lig_10541-1_lig_20754-1_run1_protein,-0.44,0.66,0.74,1.53,0.52,16.25,80,80,default
145,edge_lig_10541-1_lig_20754-1_run1_water,1.36,0.23,0.23,1.46,0.25,0.26,80,78,default
154,edge_lig_10541-1_lig_8384-1_run1_protein,-34.8,0.43,0.44,-35.26,0.38,0.45,80,54,default
155,edge_lig_10541-1_lig_8384-1_run1_water,-33.75,0.14,0.15,-33.75,0.17,0.16,80,80,default
150,edge_lig_10541-1_lig_34827-2_run1_protein,-34.28,0.58,0.49,-34.69,0.56,3.2,80,80,default
151,edge_lig_10541-1_lig_34827-2_run1_water,-37.02,0.23,0.21,-36.72,0.22,0.29,80,80,default
148,edge_lig_10541-1_lig_2714-1_run1_protein,-24.75,0.49,0.45,-26.01,0.69,0.5,80,80,default
149,edge_lig_10541-1_lig_2714-1_run1_water,-25.8,0.16,0.14,-25.82,0.12,0.15,80,80,default
3742,edge_lig_8401-1_lig_10541-1_run1_protein,27.37,0.69,0.74,27.23,0.58,4.15,80,80,05fs
3743,edge_lig_8401-1_lig_10541-1_run1_water,30.21,0.2,0.17,30.1,0.21,0.21,80,80,05fs
940,edge_lig_2338-2_lig_20774-2_run1_protein,18.22,0.58,0.57,18.7,0.39,1.79,80,80,05fs
941,edge_lig_2338-2_lig_20774-2_run1_water,13.41,0.17,0.2,13.43,0.22,0.21,80,80,05fs
3238,edge_lig_20774-2_lig_29535-1_run1_protein,27.07,0.57,0.42,27.47,0.23,2.38,80,80,default
3239,edge_lig_20774-2_lig_29535-1_run1_water,28.71,0.16,0.17,28.66,0.16,0.2,80,80,default
3236,edge_lig_20774-2_lig_18296-3_run1_protein,-12.87,0.44,0.37,-12.67,0.61,0.47,80,80,default
3237,edge_lig_20774-2_lig_18296-3_run1_water,-13.4,0.2,0.2,-13.22,0.21,0.21,80,80,default
3234,edge_lig_20774-2_lig_14119-1_run1_protein,-50.98,0.74,0.79,-49.23,1.1,3.35,80,80,default
3235,edge_lig_20774-2_lig_14119-1_run1_water,-53.52,0.29,0.28,-53.35,0.31,0.35,80,80,default
3244,edge_lig_20774-6_lig_5718-1_run1_protein,-23.62,0.27,0.37,-23.89,0.33,0.35,80,63,default
3245,edge_lig_20774-6_lig_5718-1_run1_water,-22.89,0.3,0.27,-23.38,0.17,0.14,77,26,default
3242,edge_lig_20774-6_lig_27573-1_run1_protein,15.96,0.36,0.3,15.93,0.3,0.26,80,56,default
3243,edge_lig_20774-6_lig_27573-1_run1_water,19.12,0.34,0.37,18.21,0.21,0.16,79,30,default
1442,edge_lig_27566-4_lig_27566-3_run1_protein,-5.53,0.34,0.25,-5.61,0.28,0.62,80,80,05fs
1443,edge_lig_27566-4_lig_27566-3_run1_water,-6.99,0.13,0.12,-6.98,0.12,0.15,80,80,05fs
688,edge_lig_20709-1_lig_27566-3_run1_protein,-2.28,0.22,0.3,-2.32,0.19,0.13,80,80,05fs
689,edge_lig_20709-1_lig_27566-3_run1_water,-2.65,0.12,0.13,-2.61,0.14,0.17,80,80,05fs
