,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
7382,edge_lig_42976-2_lig_44002-2_run1_protein,12.2,0.98,2.13,10.51,1.91,0.64,16,77,default
7383,edge_lig_42976-2_lig_44002-2_run1_water,10.19,0.38,0.57,10.14,0.73,0.37,13,79,default
2262,edge_lig_3534-1_lig_24608-1_run1_protein,-30.05,0.64,0.6,-29.89,0.34,1.05,80,80,05fs
2263,edge_lig_3534-1_lig_24608-1_run1_water,-26.05,0.29,0.44,-28.93,0.25,0.16,80,76,05fs
5952,edge_lig_3534-1_lig_27611-2_run1_protein,-27.66,0.59,0.81,-23.87,0.96,1.34,80,80,default
5953,edge_lig_3534-1_lig_27611-2_run1_water,-26.71,0.24,0.25,-26.45,0.22,0.19,80,25,default
2266,edge_lig_3534-1_lig_6706-1_run1_protein,10.9,0.42,0.51,12.09,0.49,0.3,39,41,05fs
2267,edge_lig_3534-1_lig_6706-1_run1_water,14.77,0.5,0.57,13.43,0.2,0.13,80,75,05fs
5944,edge_lig_3534-1_lig_14694-1_run1_protein,-18.19,0.26,0.31,-18.16,0.28,0.28,80,52,default
5945,edge_lig_3534-1_lig_14694-1_run1_water,-17.46,0.13,0.13,-17.85,0.14,0.11,79,27,default
2260,edge_lig_3534-1_lig_17901-2_run1_protein,-29.67,0.32,0.25,-30.14,0.35,0.2,80,79,05fs
2261,edge_lig_3534-1_lig_17901-2_run1_water,-30.28,0.3,0.32,-32.87,0.24,0.15,80,56,05fs
5962,edge_lig_3534-2_lig_16318-1_run1_protein,-16.96,0.24,0.24,-16.88,0.25,0.25,71,54,default
5963,edge_lig_3534-2_lig_16318-1_run1_water,-16.89,0.13,0.14,-16.93,0.16,0.15,33,60,default
3090,edge_lig_42434-1_lig_3534-2_run1_protein,-5.84,0.36,0.38,-6.93,0.52,0.23,79,80,05fs
3091,edge_lig_42434-1_lig_3534-2_run1_water,-1.95,0.34,0.33,-1.85,0.23,0.15,80,80,05fs
2274,edge_lig_3534-2_lig_29641-1_run1_protein,-6.26,0.63,0.6,-9.51,0.29,0.17,80,42,05fs
2275,edge_lig_3534-2_lig_29641-1_run1_water,-11.56,0.24,0.22,-11.15,0.27,0.35,80,80,05fs
2812,edge_lig_3987-1_lig_3534-2_run1_protein,28.13,0.38,0.43,27.9,0.39,0.19,80,78,05fs
2813,edge_lig_3987-1_lig_3534-2_run1_water,26.96,0.52,0.52,29.18,0.55,0.38,69,76,05fs
2268,edge_lig_3534-2_lig_14696-2_run1_protein,-14.63,0.39,0.5,-14.42,0.72,0.39,80,80,05fs
2269,edge_lig_3534-2_lig_14696-2_run1_water,-16.36,0.43,0.4,-17.06,0.43,0.19,80,78,05fs
2270,edge_lig_3534-2_lig_18165-2_run1_protein,5.11,0.31,0.3,4.2,0.49,0.24,80,60,05fs
2271,edge_lig_3534-2_lig_18165-2_run1_water,1.75,0.36,0.35,3.67,0.28,0.17,77,80,05fs
5964,edge_lig_3534-2_lig_17792-2_run1_protein,-18.45,0.8,1.01,-18.46,0.91,0.55,15,80,default
5965,edge_lig_3534-2_lig_17792-2_run1_water,-20.24,0.34,0.37,-20.39,0.52,0.31,23,28,default
7380,edge_lig_42976-2_lig_42433-2_run1_protein,-27.03,0.3,0.38,-27.47,0.53,0.56,59,49,default
7381,edge_lig_42976-2_lig_42433-2_run1_water,-26.93,0.35,0.38,-26.68,0.24,0.18,22,40,default
7264,edge_lig_42433-2_lig_23332-1_run1_protein,96.56,0.54,0.52,95.11,0.32,0.22,54,39,default
7265,edge_lig_42433-2_lig_23332-1_run1_water,94.46,0.43,0.43,93.76,0.4,0.23,47,30,default
8096,edge_lig_5426-1_lig_42433-2_run1_protein,-41.8,0.39,0.4,-41.59,0.62,0.38,38,35,default
8097,edge_lig_5426-1_lig_42433-2_run1_water,-42.86,0.22,0.23,-42.73,0.22,0.14,35,40,default
