ligand	DG(MLE)	uncertainty (kcal/mol)
lig_36670-1	2.92	0.01
lig_20772-1	4.9	0.01
lig_25919-1	1.3600000000000003	0.01
lig_7127-2	2.8600000000000003	0.01
lig_39175-2	3.97	0.01
lig_29670-1	5.970000000000001	0.01
lig_7103-2	3.0700000000000003	0.01
lig_8384-1	2.46	0.01
lig_20746-1	3.5700000000000003	0.01
lig_17305-1	2.79	0.01
lig_27561-1	3.08	0.01
lig_27566-1	5.71	0.01
lig_27566-2	4.15	0.01
lig_16357-1	1.2600000000000002	0.01
lig_34746-1	2.59	0.01
lig_17305-2	6.130000000000001	0.01
lig_20758-5	4.92	0.01
lig_22027-1	5.73	0.01
lig_20747-1	5.61	0.01
lig_20771-2	6.550000000000001	0.01
lig_23487-2	1.5500000000000003	0.01
lig_9758-1	4.44	0.01
lig_8423-1	4.98	0.01
lig_14594-1	3.52	0.01
lig_21812-1	4.24	0.01
lig_19262-1	1.7600000000000002	0.01
lig_15546-1	3.99	0.01
lig_17688-1	2.74	0.01
lig_30813-1	1.6900000000000002	0.01
lig_18872-1	6.54	0.01
lig_21334-1	3.0300000000000002	0.01
lig_20758-6	3.71	0.01
lig_27566-3	4.26	0.01
lig_20712-1	7.949999999999999	0.01
lig_20801-3	1.5900000000000003	0.01
lig_43683-1	5.07	0.01
lig_27557-2	1.5900000000000003	0.01
lig_30810-1	4.57	0.01
lig_20747-2	4.38	0.01
lig_20714-1	0.77	0.01
lig_20709-2	4.92	0.01
lig_41211-1	2.2600000000000002	0.01
lig_14602-1	2.45	0.01
lig_14591-1	4.2	0.01
lig_20712-2	3.65	0.01
lig_10694-1	3.42	0.01
lig_3838-1	2.67	0.01
lig_30849-1	1.0100000000000002	0.01
lig_8432-1	4.1000000000000005	0.01
lig_30805-2	3.94	0.01
lig_36661-1	3.72	0.01
lig_28183-1	5.19	0.01
lig_27572-1	3.77	0.01
lig_43638-1	4.21	0.01
lig_27565-2	2.52	0.01
lig_20706-1	3.9000000000000004	0.01
lig_30805-1	5.87	0.01
lig_2739-2	4.84	0.01
lig_44967-1	3.33	0.01
lig_20801-1	7.12	0.01
lig_27573-1	7.9399999999999995	0.01
lig_29835-1	4.36	0.01
lig_3109-1	2.55	0.01
lig_20754-1	1.15	0.01
lig_9757-1	5.9	0.01
lig_44102-4	3.68	0.01
lig_42640-1	4.07	0.01
lig_32428-1	4.48	0.01
lig_20774-6	6.640000000000001	0.01
lig_5718-1	3.0500000000000003	0.01
lig_14914-1	2.66	0.01
lig_29668-1	3.9000000000000004	0.01
lig_17694-1	1.08	0.01
lig_7106-2	2.39	0.01
lig_30797-2	1.0500000000000003	0.01
lig_20745-2	3.0100000000000002	0.01
lig_41059-2	5.63	0.01
lig_11471-2	2.56	0.01
lig_34827-1	4.92	0.01
lig_17268-1	3.9000000000000004	0.01
lig_17273-1	3.25	0.01
lig_40273-1	0.94	0.01
lig_25919-2	4.13	0.01
lig_11471-4	3.5700000000000003	0.01
lig_35651-1	5.67	0.01
lig_25909-1	3.6100000000000003	0.01
lig_25912-1	5.66	0.01
lig_7105-2	0.7200000000000002	0.01
lig_23802-1	4.79	0.01
lig_30810-2	4.82	0.01
lig_31720-1	4.91	0.01
lig_44990-1	4.73	0.01
lig_16509-1	4.25	0.01
lig_20746-4	7.8100000000000005	0.01
lig_29840-1	5.140000000000001	0.01
lig_19291-1	2.45	0.01
lig_27560-2	3.29	0.01
lig_20697-1	6.25	0.01
lig_10683-1	7.23	0.01
lig_43689-1	1.1400000000000001	0.01
lig_19260-1	4.95	0.01
lig_20714-3	5.13	0.01
lig_38256-3	8.72	0.01
lig_2330-2	3.65	0.01
lig_2330-1	4.47	0.01
lig_16598-1	5.16	0.01
lig_14110-1	4.95	0.01
lig_3469-1	4.46	0.01
lig_37083-2	3.8600000000000003	0.01
lig_2338-1	2.72	0.01
lig_29535-1	5.800000000000001	0.01
lig_34121-1	3.09	0.01
lig_20774-1	5.68	0.01
lig_23901-1	3.31	0.01
lig_2949-1	2.63	0.01
lig_7103-1	1.56	0.01
lig_1556-1	2.42	0.01
lig_20759-3	3.31	0.01
lig_22030-1	3.1500000000000004	0.01
lig_39316-1	5.02	0.01
lig_28182-1	5.08	0.01
lig_11669-2	2.97	0.01
lig_17268-2	2.8600000000000003	0.01
lig_22017-1	5.890000000000001	0.01
lig_45217-1	4.140000000000001	0.01
lig_10632-1	4.3100000000000005	0.01
lig_20714-6	4.36	0.01
lig_20750-2	3.27	0.01
lig_43790-1	2.92	0.01
lig_37203-1	2.99	0.01
lig_22022-1	3.64	0.01
lig_37442-1	6.2	0.01
lig_2739-1	4.58	0.01
lig_18872-2	4.23	0.01
lig_20750-6	2.1100000000000003	0.01
lig_17266-1	4.13	0.01
lig_5714-1	4.77	0.01
lig_2764-2	4.42	0.01
lig_19279-1	5.26	0.01
lig_10541-1	2.2600000000000002	0.01
lig_5718-2	2.2	0.01
lig_16199-1	2.6500000000000004	0.01
lig_11368-2	4.0200000000000005	0.01
lig_34827-2	5.3	0.01
lig_20726-1	5.51	0.01
lig_22025-1	4.79	0.01
lig_2748-1	1.5900000000000003	0.01
lig_21331-1	3.91	0.01
lig_8401-1	3.3600000000000003	0.01
lig_14919-1	0.9100000000000001	0.01
lig_14864-1	-0.5799999999999996	0.01
lig_17957-1	7.18	0.01
lig_2338-2	0.9500000000000002	0.01
lig_20774-2	5.4	0.01
lig_14117-1	1.06	0.01
lig_18296-3	5.58	0.01
lig_14119-1	5.880000000000001	0.01
lig_11471-3	2.92	0.01
lig_27566-4	0.6400000000000001	0.01
lig_20760-1	6.59	0.01
lig_14757-1	3.06	0.01
lig_12201-1	-2.3799999999999994	0.01
lig_21308-1	5.77	0.01
lig_17290-1	0.08000000000000007	0.01
lig_8336-1	2.62	0.01
lig_33862-1	-0.9199999999999995	0.01
lig_20709-1	3.8000000000000003	0.01
lig_11351-1	5.27	0.01
lig_30931-1	4.3	0.01
lig_10634-1	3.8400000000000003	0.01
lig_42850-1	4.42	0.01
lig_13-99	2.1100000000000003	0.01
lig_41313-1	1.9800000000000002	0.01
lig_25924-1	1.7500000000000002	0.01
lig_36502-2	2.45	0.01
lig_20745-1	4.92	0.01
lig_17259-1	2.75	0.01
lig_10690-1	4.47	0.01
lig_11471-1	2.7600000000000002	0.01
lig_8465-1	1.0500000000000003	0.01
lig_36666-1	4.88	0.01
lig_27651-2	4.2	0.01
lig_20706-3	3.75	0.01
lig_19263-1	2.38	0.01
lig_9745-1	2.77	0.01
lig_17256-1	3.18	0.01
lig_44102-1	1.5500000000000003	0.01
lig_30815-2	4.66	0.01
lig_4150-1	2.29	0.01
lig_7130-2	4.0200000000000005	0.01
lig_7130-1	4.13	0.0
lig_20709-3	3.68	0.01
lig_20724-4	3.56	0.01
lig_10689-1	2.2	0.01
lig_34372-1	2.5700000000000003	0.01
lig_14590-1	4.04	0.01
lig_20750-7	3.66	0.01
lig_20693-2	3.8200000000000003	0.01
lig_36965-1	5.19	0.01
lig_27635-1	4.95	0.01
lig_44102-2	2.1	0.01
lig_30807-2	-0.33999999999999986	0.01
lig_17264-1	-0.52	0.01
lig_20724-2	3.04	0.01
lig_22018-1	2.99	0.01
lig_129-1	1.6	0.0
lig_4723-2	1.79	0.0
lig_15318-1	3.88	0.01
lig_39208-1	2.3200000000000003	0.0
lig_11786-1	3.83	0.0
lig_26731-1	1.3800000000000003	0.01
lig_18165-1	2.8200000000000003	0.0
lig_44131-1	3.3000000000000003	0.01
lig_3684-1	4.970000000000001	0.0
lig_4657-1	1.0100000000000002	0.0
lig_7112-2	5.3	0.01
lig_44391-2	2.18	0.01
lig_13591-2	3.8600000000000003	0.0
lig_13061-1	5.05	0.0
lig_3845-1	3.98	0.0
lig_43393-1	3.19	0.0
lig_10202-2	1.5100000000000002	0.0
lig_30432-4	6.53	0.01
lig_3565-1	5.08	0.0
lig_38254-2	1.9700000000000002	0.01
lig_22011-2	3.8000000000000003	0.01
lig_16635-4	5.3100000000000005	0.0
lig_35182-1	-0.13999999999999968	0.0
lig_3846-2	3.5	0.01
lig_21317-1	2.1900000000000004	0.0
lig_907-1	2.67	0.0
lig_23260-2	1.3600000000000003	0.0
lig_40523-1	1.8800000000000001	0.0
lig_11189-1	5.45	0.0
lig_4148-1	2.63	0.0
lig_24930-1	0.0900000000000003	0.01
lig_42068-1	2.0300000000000002	0.0
lig_16400-1	3.19	0.0
lig_38335-1	5.74	0.01
lig_15847-2	2.74	0.0
lig_18165-2	1.52	0.0
lig_44693-1	5.8100000000000005	0.01
lig_4659-1	2.4400000000000004	0.0
lig_32276-4	0.77	0.0
lig_5944-1	0.5100000000000002	0.0
lig_30318-1	3.49	0.01
lig_14587-1	1.7100000000000002	0.01
lig_32423-1	3.29	0.01
lig_19021-1	4.45	0.01
lig_38556-2	6.53	0.01
lig_14944-2	4.6	0.01
lig_20709-4	3.56	0.01
lig_21812-2	1.3000000000000003	0.01
lig_30813-2	2.14	0.01
lig_20759-4	4.19	0.01
lig_43059-1	1.7100000000000002	0.01
lig_25911-1	6.33	0.01
lig_11347-1	2.91	0.01
lig_36747-1	3.09	0.01
lig_32412-1	3.5300000000000002	0.01
lig_30432-3	2.49	0.01
lig_2754-2	2.6500000000000004	0.01
lig_14492-1	2.7600000000000002	0.01
lig_2959-1	2.06	0.01
lig_32442-1	5.15	0.01
lig_22043-1	2.21	0.01
lig_19334-1	3.3000000000000003	0.01
lig_44916-1	0.9199999999999999	0.01
lig_14595-1	2.83	0.01
lig_15410-1	-2.5399999999999996	0.01
lig_44122-1	3.8400000000000003	0.01
lig_20782-3	2.0700000000000003	0.01
lig_25915-1	5.61	0.01
lig_11611-1	3.43	0.01
lig_13799-1	5.18	0.01
lig_10252-1	3.6300000000000003	0.01
lig_23802-2	4.5	0.01
lig_15539-1	7.45	0.01
lig_44517-1	3.8200000000000003	0.01
lig_44122-2	1.78	0.01
lig_11372-1	6.66	0.01
lig_2753-1	0.8400000000000003	0.01
lig_14903-1	3.98	0.01
lig_7413-1	4.720000000000001	0.01
lig_1684-1	3.18	0.01
lig_14864-2	1.48	0.01
lig_20797-4	4.71	0.01
lig_44503-2	8.53	0.01
lig_43856-1	4.44	0.01
lig_37247-1	3.0500000000000003	0.01
lig_17312-2	3.14	0.01
lig_19261-1	1.79	0.01
lig_10688-1	4.68	0.01
lig_38552-1	4.34	0.01
lig_26725-1	4.46	0.01
lig_19291-2	1.29	0.01
lig_3793-1	3.14	0.0
lig_44002-1	7.5	0.01
lig_3376-1	4.970000000000001	0.0
lig_15342-1	5.35	0.0
lig_21324-1	3.97	0.01
lig_21300-1	2.7600000000000002	0.0
lig_37884-2	3.48	0.0
lig_3569-1	2.31	0.0
lig_27578-1	3.33	0.0
lig_41204-2	5.220000000000001	0.01
lig_43630-1	2.25	0.0
lig_3541-1	3.6	0.0
lig_18796-1	7.630000000000001	0.01
lig_127-1	2.5300000000000002	0.0
lig_19652-1	6.84	0.01
lig_10839-2	2.85	0.01
lig_40229-1	2.7800000000000002	0.0
lig_8979-1	5.01	0.0
lig_21123-1	3.31	0.0
lig_17315-1	3.18	0.0
lig_30778-2	1.54	0.01
lig_19249-1	-3.36	0.01
lig_40743-1	-1.6800000000000002	0.01
lig_10684-1	4.59	0.01
lig_36502-1	4.44	0.01
lig_20760-2	5.78	0.01
lig_44523-2	4.970000000000001	0.01
lig_15552-2	4.84	0.01
lig_2726-1	0.2200000000000002	0.01
lig_22602-1	3.52	0.01
lig_2770-1	3.3600000000000003	0.01
lig_36495-1	5.82	0.01
lig_15551-1	4.95	0.01
lig_29891-1	2.95	0.01
lig_20795-1	3.54	0.01
lig_20720-4	5.13	0.01
lig_17289-1	2.16	0.01
lig_20720-2	4.44	0.01
lig_36663-1	3.2800000000000002	0.01
lig_23487-1	5.52	0.01
lig_14066-1	2.34	0.01
lig_38156-1	3.64	0.01
lig_22045-1	6.85	0.01
lig_11298-1	5.470000000000001	0.01
lig_37443-2	5.55	0.01
lig_17492-1	5.29	0.01
lig_43882-1	2.8600000000000003	0.01
lig_43074-1	1.52	0.01
lig_20801-4	4.11	0.01
lig_25920-1	6.45	0.01
lig_44102-3	1.5700000000000003	0.01
lig_42020-1	4.94	0.01
lig_30781-1	6.17	0.01
lig_38556-1	5.8100000000000005	0.01
lig_36497-2	3.06	0.01
lig_9747-1	4.51	0.01
lig_38553-1	2.46	0.01
lig_38555-1	5.55	0.01
lig_3280-1	-2.02	0.01
lig_20744-2	1.9200000000000002	0.01
lig_11366-1	4.46	0.01
