# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_1,-8.56,0.00
lig_2,-9.08,0.00
lig_3,-9.85,0.00
lig_4,-9.39,0.00
lig_5,-10.91,0.00
lig_6,-9.64,0.00
lig_7,-10.37,0.00
lig_8,-9.35,0.00
lig_9,-10.17,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_18304-1,lig_31004-4,-2.35,0,1.57
lig_5737-2,lig_5886-1,-2.08,0,1.84
lig_33140-1,lig_5886-1,-3.51,0,2.09
lig_5737-2,lig_1710-1,-2.35,0,0.93
lig_1710-1,lig_11278-2,1.06,0,1.19
lig_31007-4,lig_18304-1,2.09,0,0.87
lig_31007-4,lig_16778-2,3.27,0,1.42
lig_10358-1,lig_31443-1,0.81,0,0.64
lig_23270-1,lig_31443-1,-2.28,0,1.35
lig_4948-1,lig_31443-1,-0.03,0,0.90
lig_5737-2,lig_31443-1,-0.89,0,0.60
lig_5035-1,lig_31443-1,0.30,0,1.87
lig_31443-1,lig_9953-1,0.65,0,0.12
lig_8899-1,lig_13043-1,0.24,0,2.77
lig_10117-1,lig_31007-3,0.17,0,1.14
lig_10358-1,lig_11936-2,1.05,0,1.37
lig_29059-4,lig_10597-1,2.68,0,0.50
lig_23270-1,lig_10597-1,-0.53,0,0.54
lig_2114-1,lig_10597-1,1.85,0,0.54
lig_28964-2,lig_10597-1,0.17,0,1.26
lig_28964-2,lig_29059-4,-3.78,0,0.33
lig_25532-2,lig_29059-4,-2.24,0,2.01
lig_9790-1,lig_29059-4,-2.12,0,1.31
lig_5688-1,lig_41520-2,2.61,0,1.05
lig_39207-1,lig_5035-1,1.86,0,1.06
lig_39207-1,lig_9953-1,-1.28,0,1.78
lig_2114-1,lig_11937-1,0.16,0,0.59
lig_25532-2,lig_11937-1,-1.46,0,2.16
lig_11937-1,lig_35689-6,3.79,0,0.67
lig_10358-1,lig_5834-1,-1.03,0,2.15
lig_2114-1,lig_5834-1,-2.59,0,1.29
lig_5834-1,lig_35689-6,3.53,0,1.75
lig_9790-1,lig_5834-1,-1.45,0,0.41
lig_38017-1,lig_22326-1,1.55,0,0.07
lig_33140-1,lig_22326-1,-0.89,0,1.41
lig_10358-1,lig_16174-1,-1.32,0,1.26
lig_5688-1,lig_16174-1,-0.36,0,0.43
lig_16174-1,lig_9953-1,1.63,0,0.64
lig_10106-8,lig_29062-4,1.12,0,3.11
lig_10106-8,lig_23270-1,-0.03,0,1.24
lig_10106-8,lig_20061-3,-2.20,0,1.22
lig_10106-8,lig_5035-1,0.94,0,0.50
lig_10106-8,lig_18506-4,-0.73,0,0.53
lig_10106-8,lig_31007-3,-2.06,0,2.60
lig_20057-1,lig_8924-1,-0.19,0,0.81
lig_25532-2,lig_20057-1,1.42,0,0.85
lig_20057-1,lig_8924-3,-0.52,0,1.64
lig_29062-4,lig_18506-4,0.36,0,0.54
lig_28964-2,lig_29062-4,-1.40,0,1.52
lig_11063-2,lig_5035-1,-0.11,0,0.84
lig_10358-1,lig_11223-1,0.86,0,0.66
lig_10358-1,lig_19269-1,1.07,0,1.48
lig_10358-1,lig_5035-1,-0.30,0,0.58
lig_10358-1,lig_18304-1,1.48,0,1.30
lig_2349-1,lig_22-1,-0.05,0,0.58
lig_1427-2,lig_22-1,-0.29,0,0.66
lig_22-1,lig_18506-4,-0.06,0,0.68
lig_23856-1,lig_22-1,0.02,0,0.67
lig_5688-1,lig_22-1,0.81,0,0.70
lig_28967-2,lig_22-1,-1.04,0,0.42
lig_18304-1,lig_22-1,0.23,0,0.08
lig_42060-1,lig_22-1,-0.13,0,1.09
lig_22-1,lig_39967-1,1.50,0,1.44
lig_28967-3,lig_22-1,-1.26,0,0.94
lig_4950-1,lig_22-1,0.56,0,0.50
lig_4362-1,lig_2349-1,-1.37,0,1.33
lig_23270-1,lig_10834-1,-0.14,0,1.85
lig_11223-1,lig_5877-1,-1.71,0,0.70
lig_28964-2,lig_5877-1,-2.75,0,1.37
lig_33140-1,lig_5877-1,-4.05,0,0.76
lig_5737-2,lig_13888-4,-2.83,0,1.72
lig_13888-4,lig_9953-1,2.56,0,1.27
lig_8924-2,lig_38017-1,-1.72,0,0.67
lig_33140-1,lig_38017-1,-3.27,0,2.26
lig_11223-1,lig_5688-1,0.50,0,0.04
lig_5737-2,lig_4948-1,-0.99,0,0.38
lig_4948-1,lig_5035-1,6.65,0,3.68
lig_19269-1,lig_18506-4,0.44,0,3.22
lig_19269-1,lig_9790-1,-0.20,0,1.87
lig_19269-1,lig_10834-1,0.72,0,1.14
lig_25532-2,lig_5737-2,0.83,0,1.00
lig_5737-2,lig_8924-3,-2.45,0,0.93
lig_1427-2,lig_8899-1,-1.41,0,3.24
lig_8899-1,lig_19643-1,-1.33,0,4.73
lig_1427-2,lig_9953-1,0.08,0,1.84
lig_20061-3,lig_2114-1,0.74,0,0.46
lig_2114-1,lig_35689-6,2.02,0,0.69
lig_2114-1,lig_18304-1,0.02,0,0.29
lig_20061-3,lig_28964-2,2.64,0,0.08
lig_20061-3,lig_31007-3,-0.30,0,1.07
lig_4214-1,lig_39325-1,-1.17,0,0.36
