,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,BAR_conv,BAR_conv_abs,BAR_conv_bootstrip,source
178,edge_lig_11063-2_lig_4798-1_run3_protein,-1.72,0.08,0.09,-1.69,0.1,0.12,80,80,0.2,0.2,0.07,default
179,edge_lig_11063-2_lig_4798-1_run3_water,-1.77,0.08,0.1,-1.8,0.07,0.08,78,80,0.08,0.08,0.06,default
552,edge_lig_2349-1_lig_4798-1_run1_protein,21.48,0.62,0.92,22.55,0.57,18.16,80,80,1.0,1.0,0.00,default
553,edge_lig_2349-1_lig_4798-1_run1_water,23.14,0.18,0.17,23.12,0.16,0.22,80,79,0.17,0.17,0.13,default
554,edge_lig_2349-1_lig_4798-1_run2_protein,21.27,0.61,0.81,19.47,0.99,2.72,80,80,0.97,0.97,0.01,default
555,edge_lig_2349-1_lig_4798-1_run2_water,23.66,0.22,0.17,23.79,0.21,0.25,80,80,0.22,0.22,0.14,default
556,edge_lig_2349-1_lig_4798-1_run3_protein,25.5,0.5,0.43,24.86,0.61,0.67,80,79,0.06,0.06,0.33,default
557,edge_lig_2349-1_lig_4798-1_run3_water,23.18,0.23,0.18,23.13,0.22,0.24,80,78,0.05,0.05,0.18,default
954,edge_lig_42060-1_lig_4798-1_run1_protein,9.64,0.26,0.24,9.63,0.37,0.44,80,80,0.18,0.18,0.27,default
955,edge_lig_42060-1_lig_4798-1_run1_water,10.81,0.26,0.26,10.85,0.4,0.43,80,80,0.08,0.08,0.34,default
956,edge_lig_42060-1_lig_4798-1_run2_protein,8.68,0.31,0.3,8.4,0.25,0.61,80,80,0.66,0.66,0.11,default
957,edge_lig_42060-1_lig_4798-1_run2_water,10.66,0.31,0.31,11.25,0.29,0.36,80,80,0.15,0.15,0.16,default
958,edge_lig_42060-1_lig_4798-1_run3_protein,9.5,0.23,0.19,9.58,0.18,0.19,80,80,-0.08,0.08,0.12,default
959,edge_lig_42060-1_lig_4798-1_run3_water,10.03,0.27,0.26,9.9,0.23,0.39,80,80,0.53,0.53,0.10,default
114,edge_lig_27585-1_lig_10776-4_run1_protein,1.61,0.27,0.31,1.43,0.26,0.27,76,80,-0.11,0.11,0.14,05fs
115,edge_lig_27585-1_lig_10776-4_run1_water,4.22,0.21,0.19,4.17,0.2,0.16,80,80,-0.31,0.31,0.09,05fs
116,edge_lig_27585-1_lig_10776-4_run2_protein,1.83,0.29,0.28,1.72,0.28,0.25,69,75,-0.11,0.11,0.15,05fs
117,edge_lig_27585-1_lig_10776-4_run2_water,4.4,0.22,0.22,4.47,0.21,0.18,80,80,-0.19,0.19,0.09,05fs
118,edge_lig_27585-1_lig_10776-4_run3_protein,0.53,0.15,0.17,1.26,0.16,0.13,80,80,-0.22,0.22,0.07,05fs
119,edge_lig_27585-1_lig_10776-4_run3_water,4.2,0.19,0.22,4.23,0.23,0.17,80,80,-0.32,0.32,0.09,05fs
30,edge_lig_10774-1_lig_27585-1_run1_protein,0.1,0.28,0.28,0.27,0.33,0.24,55,50,-0.36,0.36,0.09,05fs
31,edge_lig_10774-1_lig_27585-1_run1_water,-7.04,0.83,0.79,-1.93,0.46,0.22,36,79,-0.77,0.77,0.04,05fs
122,edge_lig_10774-1_lig_27585-1_run2_protein,0.64,0.3,0.28,0.27,0.32,0.3,54,30,-0.03,0.03,0.24,default
123,edge_lig_10774-1_lig_27585-1_run2_water,-0.2,0.43,0.39,-0.24,0.28,0.32,27,15,0.08,0.08,0.14,default
34,edge_lig_10774-1_lig_27585-1_run3_protein,2.62,0.26,0.22,3.22,0.21,0.15,80,80,-0.4,0.4,0.06,05fs
35,edge_lig_10774-1_lig_27585-1_run3_water,0.32,0.4,0.43,-0.51,0.27,0.15,80,79,-0.58,0.58,0.04,05fs
276,edge_lig_5877-1_lig_27585-1_run1_protein,-14.51,0.65,0.62,-14.06,0.77,0.74,80,62,0.29,0.29,0.20,05fs
277,edge_lig_5877-1_lig_27585-1_run1_water,-14.53,0.6,0.55,-16.01,0.3,0.16,80,80,-0.69,0.69,0.04,05fs
278,edge_lig_5877-1_lig_27585-1_run2_protein,-13.73,0.59,0.67,-13.92,0.5,3.83,80,80,0.98,0.98,0.00,05fs
279,edge_lig_5877-1_lig_27585-1_run2_water,-14.94,0.48,0.39,-14.81,0.33,0.16,80,80,-0.67,0.67,0.04,05fs
280,edge_lig_5877-1_lig_27585-1_run3_protein,-14.23,0.8,0.67,-14.75,0.52,3.5,65,77,0.99,0.99,0.00,05fs
281,edge_lig_5877-1_lig_27585-1_run3_water,-15.1,0.36,0.38,-15.04,0.33,0.16,80,80,-0.71,0.71,0.04,05fs
126,edge_lig_27585-1_lig_13888-4_run1_protein,2.31,0.37,0.34,2.35,0.24,0.56,61,51,0.73,0.73,0.06,05fs
127,edge_lig_27585-1_lig_13888-4_run1_water,10.25,0.34,0.41,6.39,0.45,0.24,80,23,-0.8,0.8,0.03,05fs
620,edge_lig_27585-1_lig_13888-4_run2_protein,2.14,0.35,0.32,1.86,0.36,0.61,79,79,0.62,0.62,0.16,default
621,edge_lig_27585-1_lig_13888-4_run2_water,3.38,0.44,0.38,3.92,0.23,0.74,50,17,0.86,0.86,0.03,default
130,edge_lig_27585-1_lig_13888-4_run3_protein,-0.39,0.19,0.22,-1.13,0.28,0.18,80,80,-0.5,0.5,0.05,05fs
131,edge_lig_27585-1_lig_13888-4_run3_water,5.39,0.94,0.88,4.74,0.7,0.26,80,63,-0.76,0.76,0.04,05fs
1188,edge_lig_5737-2_lig_27585-1_run1_protein,-12.89,0.27,0.31,-13.59,0.35,0.25,51,80,-0.24,0.24,0.15,default
1189,edge_lig_5737-2_lig_27585-1_run1_water,-13.39,0.3,0.34,-13.84,0.44,0.33,13,47,-0.37,0.37,0.17,default
1190,edge_lig_5737-2_lig_27585-1_run2_protein,-12.26,0.23,0.23,-13.14,0.38,0.22,73,78,-0.48,0.48,0.08,default
1191,edge_lig_5737-2_lig_27585-1_run2_water,-13.07,0.24,0.34,-13.55,0.41,0.33,19,46,-0.22,0.22,0.19,default
1192,edge_lig_5737-2_lig_27585-1_run3_protein,-10.35,0.57,0.69,-13.06,0.58,0.3,43,10,-0.6,0.6,0.09,default
1193,edge_lig_5737-2_lig_27585-1_run3_water,-13.14,0.32,0.5,-13.79,0.81,0.41,15,29,-0.41,0.41,0.28,default
120,edge_lig_27585-1_lig_11278-2_run1_protein,-8.2,0.41,0.41,-8.63,0.25,0.14,80,65,-0.59,0.59,0.05,05fs
121,edge_lig_27585-1_lig_11278-2_run1_water,-6.37,0.39,0.35,-7.15,0.26,0.14,80,80,-0.76,0.76,0.03,05fs
122,edge_lig_27585-1_lig_11278-2_run2_protein,-7.71,0.25,0.26,-8.46,0.26,0.14,80,79,-0.51,0.51,0.05,05fs
123,edge_lig_27585-1_lig_11278-2_run2_water,-7.41,0.35,0.36,-7.53,0.2,0.12,80,80,-0.69,0.69,0.03,05fs
124,edge_lig_27585-1_lig_11278-2_run3_protein,-6.29,0.16,0.17,-5.91,0.23,0.17,80,80,-0.32,0.32,0.08,05fs
125,edge_lig_27585-1_lig_11278-2_run3_water,-7.33,0.23,0.3,-7.09,0.16,0.12,80,80,-0.67,0.67,0.03,05fs
126,edge_lig_10774-1_lig_40894-1_run1_protein,1.21,0.41,0.39,2.3,0.86,0.62,80,80,0.12,0.12,0.41,default
127,edge_lig_10774-1_lig_40894-1_run1_water,1.23,0.17,0.17,1.37,0.19,0.17,80,80,-0.16,0.16,0.10,default
128,edge_lig_10774-1_lig_40894-1_run2_protein,2.43,0.24,0.21,2.82,0.17,0.37,80,80,0.6,0.6,0.13,default
129,edge_lig_10774-1_lig_40894-1_run2_water,2.07,0.2,0.19,2.11,0.21,0.24,80,80,0.12,0.12,0.12,default
130,edge_lig_10774-1_lig_40894-1_run3_protein,1.91,0.3,0.3,1.33,0.36,0.45,80,80,0.32,0.32,0.18,default
131,edge_lig_10774-1_lig_40894-1_run3_water,1.98,0.16,0.14,2.0,0.17,0.2,80,80,0.16,0.16,0.11,default
1200,edge_lig_5737-2_lig_40894-1_run1_protein,-7.54,0.31,0.25,-7.72,0.2,0.45,80,80,0.68,0.68,0.06,default
1201,edge_lig_5737-2_lig_40894-1_run1_water,-5.49,0.15,0.13,-5.25,0.14,0.15,80,80,-0.02,0.02,0.08,default
1202,edge_lig_5737-2_lig_40894-1_run2_protein,-7.84,0.33,0.26,-8.16,0.35,0.47,80,80,0.25,0.25,0.36,default
1203,edge_lig_5737-2_lig_40894-1_run2_water,-5.61,0.15,0.14,-5.49,0.16,0.17,80,80,0.04,0.04,0.09,default
1204,edge_lig_5737-2_lig_40894-1_run3_protein,-6.86,0.28,0.3,-6.68,0.42,0.71,80,80,0.56,0.56,0.18,default
1205,edge_lig_5737-2_lig_40894-1_run3_water,-5.24,0.14,0.12,-5.26,0.13,0.16,80,80,0.02,0.02,0.11,default
942,edge_lig_40894-1_lig_23856-1_run1_protein,35.13,0.28,0.29,34.84,0.3,0.3,80,80,0.03,0.03,0.19,default
943,edge_lig_40894-1_lig_23856-1_run1_water,32.02,0.39,0.51,32.86,0.19,0.13,72,80,-0.5,0.5,0.05,default
944,edge_lig_40894-1_lig_23856-1_run2_protein,33.26,0.3,0.29,33.43,0.35,0.59,80,80,0.43,0.43,0.24,default
945,edge_lig_40894-1_lig_23856-1_run2_water,34.03,0.16,0.15,34.0,0.2,0.15,80,80,-0.24,0.24,0.07,default
946,edge_lig_40894-1_lig_23856-1_run3_protein,32.33,0.25,0.26,32.32,0.29,0.63,80,80,0.69,0.69,0.15,default
947,edge_lig_40894-1_lig_23856-1_run3_water,33.29,0.13,0.13,33.32,0.12,0.14,80,80,-0.05,0.05,0.08,default
210,edge_lig_11262-1_lig_10776-4_run1_protein,8.03,0.13,0.15,7.95,0.14,0.12,80,79,-0.2,0.2,0.06,default
211,edge_lig_11262-1_lig_10776-4_run1_water,8.69,0.11,0.13,8.81,0.1,0.09,73,66,0.02,0.02,0.06,default
212,edge_lig_11262-1_lig_10776-4_run2_protein,8.82,0.11,0.13,8.82,0.14,0.17,80,80,0.24,0.24,0.11,default
213,edge_lig_11262-1_lig_10776-4_run2_water,9.05,0.08,0.08,8.97,0.09,0.09,78,77,0.06,0.06,0.06,default
214,edge_lig_11262-1_lig_10776-4_run3_protein,9.24,0.09,0.09,9.24,0.09,0.11,80,80,0.15,0.15,0.06,default
215,edge_lig_11262-1_lig_10776-4_run3_water,8.98,0.09,0.08,8.99,0.09,0.1,79,66,0.07,0.07,0.06,default
114,edge_lig_10774-1_lig_10776-4_run1_protein,0.53,0.24,0.26,0.88,0.27,0.36,80,53,0.24,0.24,0.23,default
115,edge_lig_10774-1_lig_10776-4_run1_water,3.22,0.2,0.17,3.17,0.24,0.15,80,51,-0.3,0.3,0.07,default
116,edge_lig_10774-1_lig_10776-4_run2_protein,2.17,0.17,0.14,2.29,0.17,0.21,80,58,0.23,0.23,0.12,default
117,edge_lig_10774-1_lig_10776-4_run2_water,2.82,0.2,0.16,2.73,0.22,0.2,80,43,-0.1,0.1,0.10,default
118,edge_lig_10774-1_lig_10776-4_run3_protein,1.44,0.27,0.23,1.61,0.25,0.28,80,29,0.22,0.22,0.19,default
119,edge_lig_10774-1_lig_10776-4_run3_water,2.77,0.16,0.17,2.73,0.16,0.16,80,47,-0.12,0.12,0.09,default
312,edge_lig_1710-1_lig_10776-4_run1_protein,4.16,0.21,0.29,4.53,0.25,0.41,80,80,0.49,0.49,0.20,default
313,edge_lig_1710-1_lig_10776-4_run1_water,5.19,0.15,0.17,5.15,0.15,0.17,80,75,0.01,0.01,0.11,default
314,edge_lig_1710-1_lig_10776-4_run2_protein,4.82,0.13,0.16,4.86,0.18,0.17,80,80,-0.01,0.01,0.09,default
315,edge_lig_1710-1_lig_10776-4_run2_water,5.03,0.15,0.2,5.05,0.2,0.2,79,79,0.11,0.11,0.11,default
316,edge_lig_1710-1_lig_10776-4_run3_protein,5.12,0.18,0.18,5.06,0.18,0.26,80,80,0.4,0.4,0.20,default
317,edge_lig_1710-1_lig_10776-4_run3_water,5.39,0.16,0.16,5.34,0.16,0.16,80,78,0.1,0.1,0.10,default
168,edge_lig_10776-4_lig_9953-1_run1_protein,22.68,0.21,0.21,22.84,0.23,0.24,80,80,-0.14,0.14,0.14,default
169,edge_lig_10776-4_lig_9953-1_run1_water,19.44,0.16,0.21,19.48,0.23,0.23,80,80,-0.01,0.01,0.15,default
170,edge_lig_10776-4_lig_9953-1_run2_protein,21.59,0.23,0.24,21.46,0.24,0.26,80,80,0.01,0.01,0.18,default
171,edge_lig_10776-4_lig_9953-1_run2_water,19.32,0.15,0.15,19.35,0.13,0.19,80,80,0.3,0.3,0.12,default
172,edge_lig_10776-4_lig_9953-1_run3_protein,22.44,0.24,0.24,22.71,0.31,0.28,80,80,-0.04,0.04,0.16,default
173,edge_lig_10776-4_lig_9953-1_run3_water,20.03,0.17,0.21,19.97,0.21,0.22,80,80,0.0,0.0,0.10,default
576,edge_lig_25532-2_lig_10776-4_run1_protein,-3.5,0.12,0.12,-3.35,0.15,0.14,80,80,-0.07,0.07,0.08,default
577,edge_lig_25532-2_lig_10776-4_run1_water,-4.14,0.12,0.13,-3.8,0.14,0.12,80,70,-0.03,0.03,0.07,default
578,edge_lig_25532-2_lig_10776-4_run2_protein,-5.03,0.15,0.16,-4.9,0.16,0.1,80,80,-0.59,0.59,0.03,default
579,edge_lig_25532-2_lig_10776-4_run2_water,-4.34,0.13,0.15,-4.15,0.12,0.12,80,79,0.04,0.04,0.08,default
580,edge_lig_25532-2_lig_10776-4_run3_protein,-3.24,0.16,0.14,-3.29,0.15,0.17,80,80,0.13,0.13,0.11,default
581,edge_lig_25532-2_lig_10776-4_run3_water,-4.3,0.11,0.15,-4.14,0.11,0.12,80,67,0.05,0.05,0.08,default
288,edge_lig_14458-1_lig_39115-1_run1_protein,-12.46,0.51,0.44,-12.17,0.48,2.26,80,80,0.97,0.97,0.01,default
289,edge_lig_14458-1_lig_39115-1_run1_water,-10.92,0.16,0.17,-11.13,0.21,0.19,70,79,-0.17,0.17,0.09,default
290,edge_lig_14458-1_lig_39115-1_run2_protein,-12.18,0.34,0.34,-11.61,0.34,0.69,80,80,0.64,0.64,0.14,default
291,edge_lig_14458-1_lig_39115-1_run2_water,-10.61,0.18,0.19,-10.72,0.27,0.2,76,75,-0.28,0.28,0.10,default
292,edge_lig_14458-1_lig_39115-1_run3_protein,-13.83,0.55,0.52,-12.04,0.43,11.25,74,80,1.0,1.0,0.00,default
293,edge_lig_14458-1_lig_39115-1_run3_water,-11.54,0.19,0.16,-11.88,0.2,0.17,52,79,-0.23,0.23,0.09,default
438,edge_lig_20763-3_lig_39115-1_run1_protein,-25.28,0.53,0.45,-24.24,0.53,1.34,80,80,0.89,0.89,0.04,default
439,edge_lig_20763-3_lig_39115-1_run1_water,-26.03,0.18,0.17,-26.0,0.19,0.2,80,80,-0.02,0.02,0.13,default
440,edge_lig_20763-3_lig_39115-1_run2_protein,-28.67,0.42,0.29,-28.04,0.24,0.64,80,80,0.77,0.77,0.06,default
441,edge_lig_20763-3_lig_39115-1_run2_water,-26.33,0.22,0.21,-26.32,0.24,0.27,80,76,0.19,0.19,0.17,default
442,edge_lig_20763-3_lig_39115-1_run3_protein,-27.08,0.43,0.35,-26.37,0.23,2.16,80,80,0.98,0.98,0.01,default
443,edge_lig_20763-3_lig_39115-1_run3_water,-25.94,0.2,0.17,-25.99,0.21,0.22,80,80,0.04,0.04,0.14,default
414,edge_lig_20061-3_lig_39115-1_run1_protein,13.95,0.59,0.56,14.74,0.32,1.56,80,34,0.94,0.94,0.02,default
415,edge_lig_20061-3_lig_39115-1_run1_water,14.58,0.52,0.64,14.51,0.72,0.63,52,11,-0.29,0.29,0.47,default
416,edge_lig_20061-3_lig_39115-1_run2_protein,14.08,0.43,0.41,13.2,0.52,0.33,58,31,-0.51,0.51,0.11,default
417,edge_lig_20061-3_lig_39115-1_run2_water,14.53,0.34,0.43,13.57,0.49,0.3,76,15,-0.43,0.43,0.13,default
418,edge_lig_20061-3_lig_39115-1_run3_protein,13.89,0.45,0.55,13.4,0.73,0.43,80,27,-0.49,0.49,0.13,default
419,edge_lig_20061-3_lig_39115-1_run3_water,15.7,0.46,0.36,15.73,0.48,0.38,52,12,-0.27,0.27,0.17,default
1134,edge_lig_5518-4_lig_22-1_run1_protein,5.46,0.31,0.33,5.94,0.93,0.49,80,80,-0.22,0.22,0.26,default
1135,edge_lig_5518-4_lig_22-1_run1_water,5.24,0.25,0.2,5.56,0.24,0.21,78,80,-0.01,0.01,0.11,default
1136,edge_lig_5518-4_lig_22-1_run2_protein,7.64,0.37,0.46,7.59,0.39,0.86,80,78,0.78,0.78,0.06,default
1137,edge_lig_5518-4_lig_22-1_run2_water,6.26,0.2,0.19,6.73,0.17,0.2,79,79,0.01,0.01,0.12,default
1138,edge_lig_5518-4_lig_22-1_run3_protein,7.18,0.37,0.4,6.65,0.37,0.43,80,79,0.08,0.08,0.22,default
1139,edge_lig_5518-4_lig_22-1_run3_water,6.06,0.12,0.11,6.08,0.11,0.11,80,80,0.04,0.04,0.05,default
1110,edge_lig_5518-3_lig_28967-2_run1_protein,9.0,0.19,0.17,8.92,0.23,0.18,80,45,-0.11,0.11,0.12,default
1111,edge_lig_5518-3_lig_28967-2_run1_water,9.38,0.17,0.22,9.07,0.31,0.21,80,26,-0.32,0.32,0.12,default
260,edge_lig_5518-3_lig_28967-2_run2_protein,8.45,0.19,0.17,8.49,0.16,0.28,65,58,0.52,0.52,0.10,05fs
261,edge_lig_5518-3_lig_28967-2_run2_water,12.4,0.4,0.38,12.6,0.15,0.11,80,80,-0.43,0.43,0.05,05fs
262,edge_lig_5518-3_lig_28967-2_run3_protein,10.11,0.21,0.21,10.09,0.23,0.23,45,45,0.0,0.0,0.12,05fs
263,edge_lig_5518-3_lig_28967-2_run3_water,11.19,0.21,0.23,11.9,0.19,0.13,80,80,-0.41,0.41,0.06,05fs
1116,edge_lig_5518-3_lig_28967-3_run1_protein,-19.61,0.24,0.24,-19.24,0.18,0.53,80,78,0.81,0.81,0.09,default
1117,edge_lig_5518-3_lig_28967-3_run1_water,-19.49,0.17,0.17,-19.68,0.2,0.2,50,79,0.02,0.02,0.12,default
1118,edge_lig_5518-3_lig_28967-3_run2_protein,-18.07,0.15,0.15,-18.07,0.12,0.13,73,80,0.03,0.03,0.08,default
1119,edge_lig_5518-3_lig_28967-3_run2_water,-20.03,0.16,0.18,-20.01,0.17,0.16,46,80,-0.11,0.11,0.11,default
1120,edge_lig_5518-3_lig_28967-3_run3_protein,-15.39,0.16,0.15,-15.7,0.12,0.1,80,80,-0.2,0.2,0.05,default
1121,edge_lig_5518-3_lig_28967-3_run3_water,-19.85,0.16,0.14,-19.93,0.16,0.16,52,76,0.06,0.06,0.09,default
1128,edge_lig_5518-3_lig_4950-1_run1_protein,9.08,0.29,0.3,9.45,0.21,0.26,80,79,0.25,0.25,0.11,default
1129,edge_lig_5518-3_lig_4950-1_run1_water,9.43,0.29,0.23,9.73,0.2,0.29,80,79,0.24,0.24,0.17,default
1130,edge_lig_5518-3_lig_4950-1_run2_protein,9.54,0.18,0.18,9.71,0.17,0.19,80,80,0.08,0.08,0.10,default
1131,edge_lig_5518-3_lig_4950-1_run2_water,9.51,0.2,0.21,9.48,0.23,0.25,80,78,0.1,0.1,0.16,default
1132,edge_lig_5518-3_lig_4950-1_run3_protein,11.75,0.23,0.21,11.65,0.19,0.32,80,80,0.55,0.55,0.07,default
1133,edge_lig_5518-3_lig_4950-1_run3_water,10.1,0.24,0.23,10.2,0.39,0.28,80,79,-0.18,0.18,0.16,default
156,edge_lig_10776-3_lig_4653-1_run1_protein,-0.26,0.23,0.28,-0.28,0.48,0.44,80,80,-0.14,0.14,0.30,default
157,edge_lig_10776-3_lig_4653-1_run1_water,-1.63,0.12,0.12,-1.2,0.15,0.14,80,80,-0.06,0.06,0.08,default
158,edge_lig_10776-3_lig_4653-1_run2_protein,-2.3,0.59,0.78,-1.8,1.05,0.67,80,19,-0.26,0.26,0.45,default
159,edge_lig_10776-3_lig_4653-1_run2_water,-2.28,0.15,0.17,-2.05,0.2,0.19,80,80,-0.01,0.01,0.13,default
160,edge_lig_10776-3_lig_4653-1_run3_protein,-1.63,0.24,0.18,-1.61,0.25,0.2,80,80,-0.1,0.1,0.11,default
161,edge_lig_10776-3_lig_4653-1_run3_water,-1.82,0.14,0.14,-1.77,0.14,0.17,80,80,0.08,0.08,0.12,default
144,edge_lig_10776-3_lig_10117-1_run1_protein,5.66,0.24,0.25,5.49,0.15,0.35,80,80,0.63,0.63,0.05,default
145,edge_lig_10776-3_lig_10117-1_run1_water,4.73,0.15,0.15,4.87,0.16,0.18,79,79,0.03,0.03,0.09,default
146,edge_lig_10776-3_lig_10117-1_run2_protein,3.76,0.59,0.51,4.51,0.51,1.29,80,18,0.9,0.9,0.05,default
147,edge_lig_10776-3_lig_10117-1_run2_water,4.45,0.18,0.17,4.85,0.22,0.16,75,79,-0.28,0.28,0.07,default
148,edge_lig_10776-3_lig_10117-1_run3_protein,6.0,0.18,0.17,5.93,0.2,0.17,80,80,-0.2,0.2,0.09,default
149,edge_lig_10776-3_lig_10117-1_run3_water,4.44,0.18,0.21,4.67,0.19,0.16,75,78,-0.17,0.17,0.09,default
1170,edge_lig_5737-2_lig_10776-3_run1_protein,-14.84,0.14,0.09,-15.22,0.09,0.11,79,80,0.12,0.12,0.06,default
1171,edge_lig_5737-2_lig_10776-3_run1_water,-13.29,0.08,0.07,-13.48,0.06,0.08,80,80,0.14,0.14,0.05,default
1172,edge_lig_5737-2_lig_10776-3_run2_protein,-15.15,0.15,0.15,-14.87,0.21,0.25,80,80,0.26,0.26,0.18,default
1173,edge_lig_5737-2_lig_10776-3_run2_water,-12.55,0.18,0.13,-13.11,0.07,0.06,80,80,-0.09,0.09,0.04,default
1174,edge_lig_5737-2_lig_10776-3_run3_protein,-14.86,0.08,0.08,-14.71,0.07,0.13,80,80,0.48,0.48,0.05,default
1175,edge_lig_5737-2_lig_10776-3_run3_water,-12.49,0.08,0.1,-12.79,0.09,0.09,80,80,0.02,0.02,0.05,default
150,edge_lig_10776-3_lig_11278-2_run1_protein,-7.49,0.08,0.08,-7.52,0.1,0.07,80,80,-0.36,0.36,0.04,default
151,edge_lig_10776-3_lig_11278-2_run1_water,-7.54,0.09,0.09,-7.64,0.07,0.07,80,68,-0.06,0.06,0.05,default
152,edge_lig_10776-3_lig_11278-2_run2_protein,-8.1,0.1,0.12,-8.2,0.08,0.07,80,80,-0.11,0.11,0.05,default
153,edge_lig_10776-3_lig_11278-2_run2_water,-8.34,0.09,0.1,-8.14,0.07,0.07,70,80,-0.05,0.05,0.05,default
154,edge_lig_10776-3_lig_11278-2_run3_protein,-6.9,0.13,0.16,-7.14,0.08,0.07,80,80,-0.15,0.15,0.05,default
155,edge_lig_10776-3_lig_11278-2_run3_water,-7.81,0.13,0.11,-7.77,0.07,0.06,80,80,-0.19,0.19,0.04,default
162,edge_lig_10776-3_lig_8924-1_run1_protein,11.29,0.37,0.34,9.96,0.3,1.42,80,79,0.92,0.92,0.03,default
163,edge_lig_10776-3_lig_8924-1_run1_water,8.25,0.17,0.23,8.78,0.16,0.15,65,79,-0.15,0.15,0.09,default
164,edge_lig_10776-3_lig_8924-1_run2_protein,10.9,0.19,0.23,11.03,0.23,0.21,80,80,-0.11,0.11,0.12,default
165,edge_lig_10776-3_lig_8924-1_run2_water,7.08,0.26,0.26,7.81,0.18,0.14,41,78,-0.3,0.3,0.08,default
166,edge_lig_10776-3_lig_8924-1_run3_protein,8.27,0.13,0.14,7.62,0.13,0.11,80,80,-0.14,0.14,0.05,default
167,edge_lig_10776-3_lig_8924-1_run3_water,7.81,0.25,0.21,8.44,0.19,0.14,39,76,-0.3,0.3,0.07,default
294,edge_lig_14458-1_lig_39325-1_run1_protein,-9.13,0.15,0.16,-9.08,0.16,0.18,80,80,0.09,0.09,0.08,default
295,edge_lig_14458-1_lig_39325-1_run1_water,-8.21,0.15,0.15,-8.17,0.14,0.21,80,80,0.36,0.36,0.13,default
296,edge_lig_14458-1_lig_39325-1_run2_protein,-8.06,0.19,0.2,-8.24,0.22,0.14,80,80,-0.44,0.44,0.06,default
297,edge_lig_14458-1_lig_39325-1_run2_water,-8.59,0.12,0.13,-8.64,0.16,0.17,80,80,0.09,0.09,0.11,default
298,edge_lig_14458-1_lig_39325-1_run3_protein,-10.14,0.17,0.16,-10.24,0.18,0.17,80,80,0.04,0.04,0.08,default
299,edge_lig_14458-1_lig_39325-1_run3_water,-8.19,0.17,0.15,-8.25,0.17,0.19,78,80,0.24,0.24,0.10,default
300,edge_lig_14458-1_lig_4362-1_run1_protein,-16.78,0.42,0.4,-16.77,0.26,0.39,80,80,0.37,0.37,0.13,default
301,edge_lig_14458-1_lig_4362-1_run1_water,-16.79,0.17,0.16,-16.92,0.16,0.2,80,80,0.2,0.2,0.11,default
302,edge_lig_14458-1_lig_4362-1_run2_protein,-16.15,0.36,0.3,-16.2,0.33,0.31,80,80,-0.05,0.05,0.20,default
303,edge_lig_14458-1_lig_4362-1_run2_water,-16.52,0.17,0.16,-16.62,0.16,0.18,80,80,0.11,0.11,0.10,default
304,edge_lig_14458-1_lig_4362-1_run3_protein,-19.0,0.43,0.53,-17.51,0.67,0.52,80,80,-0.26,0.26,0.26,default
305,edge_lig_14458-1_lig_4362-1_run3_water,-16.76,0.12,0.13,-16.89,0.13,0.13,80,80,0.1,0.1,0.09,default
216,edge_lig_11262-1_lig_22-1_run1_protein,10.74,0.21,0.19,10.55,0.18,0.18,80,80,-0.06,0.06,0.11,default
217,edge_lig_11262-1_lig_22-1_run1_water,9.03,0.11,0.09,9.0,0.1,0.12,80,80,0.09,0.09,0.07,default
218,edge_lig_11262-1_lig_22-1_run2_protein,10.26,0.3,0.28,10.26,0.33,0.51,80,80,0.33,0.33,0.23,default
219,edge_lig_11262-1_lig_22-1_run2_water,8.57,0.14,0.15,8.63,0.15,0.16,80,80,0.11,0.11,0.11,default
220,edge_lig_11262-1_lig_22-1_run3_protein,9.47,0.27,0.2,9.37,0.15,0.43,80,80,0.8,0.8,0.03,default
221,edge_lig_11262-1_lig_22-1_run3_water,8.74,0.14,0.13,8.81,0.16,0.16,80,80,-0.05,0.05,0.09,default
1032,edge_lig_45112-1_lig_11262-1_run1_protein,-23.87,0.18,0.18,-23.97,0.2,0.14,80,80,-0.15,0.15,0.09,default
1033,edge_lig_45112-1_lig_11262-1_run1_water,-24.13,0.13,0.12,-24.13,0.15,0.14,80,79,-0.07,0.07,0.08,default
1034,edge_lig_45112-1_lig_11262-1_run2_protein,-24.47,0.16,0.15,-24.53,0.16,0.16,80,80,-0.06,0.06,0.08,default
1035,edge_lig_45112-1_lig_11262-1_run2_water,-24.31,0.11,0.13,-24.4,0.14,0.13,80,79,-0.01,0.01,0.08,default
1036,edge_lig_45112-1_lig_11262-1_run3_protein,-25.54,0.09,0.09,-25.61,0.11,0.11,80,80,-0.05,0.05,0.06,default
1037,edge_lig_45112-1_lig_11262-1_run3_water,-24.2,0.13,0.14,-24.2,0.15,0.14,80,78,-0.2,0.2,0.08,default
420,edge_lig_2025-1_lig_11262-1_run1_protein,14.27,0.19,0.18,14.39,0.19,0.17,80,80,0.0,0.0,0.11,default
421,edge_lig_2025-1_lig_11262-1_run1_water,16.78,0.22,0.2,16.7,0.18,0.31,80,80,0.57,0.57,0.08,default
422,edge_lig_2025-1_lig_11262-1_run2_protein,14.23,0.25,0.24,14.18,0.2,0.23,80,80,0.1,0.1,0.14,default
