,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
0,edge_lig_29061-4_lig_4-99,4.569999999999999,14.157099999999998,3.7625921915615566,3
1,edge_lig_5518-3_lig_4-99,5.17,2.0149000000000012,1.4194717327231288,3
2,edge_lig_22930-2_lig_4-99,1.9666666666666661,2.592633333333331,1.6101656229510461,3
3,edge_lig_7202-2_lig_4-99,3.806666666666667,1.4057333333333322,1.1856362567555583,3
4,edge_lig_10387-1_lig_4-99,3.693333333333333,2.3434333333333317,1.5308276628456032,3
5,edge_lig_4-99_lig_31076-3,-3.5766666666666667,1.6354333333333304,1.2788406207707552,3
6,edge_lig_4-99_lig_4653-1,-3.943333333333333,0.12843333333333334,0.35837596645608555,3
7,edge_lig_5518-1_lig_4-99,4.3566666666666665,1.0456333333333336,1.0225621415509836,3
8,edge_lig_40642-1_lig_4-99,2.2766666666666673,0.9360333333333333,0.9674881566889246,3
9,edge_lig_31936-3_lig_4-99,4.67,0.0966999999999998,0.31096623610932395,3
10,edge_lig_42838-2_lig_4-99,3.773333333333333,0.4140333333333334,0.6434542200757825,3
11,edge_lig_1710-1_lig_4-99,6.546666666666667,0.2822333333333333,0.5312563725107994,3
12,edge_lig_31443-1_lig_4-99,2.9233333333333333,5.0780333333333445,2.253449208066014,3
13,edge_lig_4-99_lig_13043-1,-1.7999999999999998,2.562700000000001,1.6008435276440982,3
14,edge_lig_11937-1_lig_4-99,4.113333333333334,4.087633333333331,2.0217896362711256,3
15,edge_lig_5834-1_lig_4-99,5.24,0.7803999999999993,0.8834025130143107,3
16,edge_lig_4-99_lig_22326-1,-3.563333333333333,2.309433333333337,1.5196819842760974,3
17,edge_lig_4-99_lig_19643-1,-1.306666666666666,0.1681333333333342,0.41004064839151516,3
18,edge_lig_4214-1_lig_4-99,1.909999999999999,1.5560999999999956,1.2474373731775057,3
19,edge_lig_5035-1_lig_4-99,1.3633333333333333,0.12523333333333322,0.35388321990924243,3
20,edge_lig_4-99_lig_15710-1,-2.6133333333333346,2.016433333333333,1.4200117370406955,3
21,edge_lig_4-99_lig_35689-6,-1.4766666666666666,5.467233333333324,2.3382115672738695,3
22,edge_lig_10387-2_lig_4-99,4.11,4.6357000000000035,2.1530675790601657,3
23,edge_lig_4362-1_lig_4-99,2.696666666666667,4.101033333333334,2.0251008205354455,3
24,edge_lig_4-99_lig_32345-1,-3.1100000000000008,4.964699999999995,2.2281606764324686,3
25,edge_lig_4-99_lig_39967-1,-1.5733333333333377,4.86243333333333,2.2050925906485945,3
26,edge_lig_29061-4_lig_10597-1,1.0600000000000003,0.006100000000000015,0.07810249675906664,3
27,edge_lig_29061-4_lig_29062-4,-0.7633333333333336,0.42543333333333316,0.6522525073415457,3
28,edge_lig_19269-1_lig_29061-4,-0.7333333333333343,1.6337333333333208,1.2781757834246903,3
29,edge_lig_20061-3_lig_29061-4,0.8933333333333333,2.9669333333333334,1.7224788339289785,3
30,edge_lig_37891-3_lig_4798-1,0.7166666666666665,1.0752333333333337,1.036934584886305,3
31,edge_lig_11063-2_lig_4798-1,-1.0766666666666669,1.224233333333334,1.106450782155869,3
32,edge_lig_2349-1_lig_4798-1,-1.0533333333333335,9.325833333333335,3.053822740981103,3
33,edge_lig_42060-1_lig_4798-1,-1.463333333333333,1.6446333333333327,1.282432584322986,3
34,edge_lig_27585-1_lig_10776-4,-2.8200000000000003,0.016900000000000078,0.1300000000000003,3
35,edge_lig_10774-1_lig_27585-1,2.146666666666667,2.594233333333334,1.6106623896190455,3
36,edge_lig_5877-1_lig_27585-1,1.0433333333333337,0.7065333333333349,0.8405553719614995,3
37,edge_lig_27585-1_lig_13888-4,-3.9899999999999998,3.630900000000001,1.9054920624342682,3
38,edge_lig_5737-2_lig_27585-1,0.46333333333333293,0.059733333333332965,0.24440403706431071,3
39,edge_lig_27585-1_lig_11278-2,-0.4100000000000004,1.9717000000000002,1.4041723540933286,3
40,edge_lig_10774-1_lig_40894-1,0.32333333333333325,0.7521333333333331,0.8672562097404279,3
41,edge_lig_5737-2_lig_40894-1,-2.1866666666666665,0.4508333333333333,0.6714412359494561,3
42,edge_lig_40894-1_lig_23856-1,0.1366666666666679,2.594633333333341,1.610786557348099,3
43,edge_lig_11262-1_lig_10776-4,-0.2533333333333336,0.3160333333333335,0.5621684207898319,3
44,edge_lig_10774-1_lig_10776-4,-1.2833333333333332,0.8756333333333335,0.9357528163640938,3
45,edge_lig_1710-1_lig_10776-4,-0.3633333333333333,0.05143333333333343,0.22678918257565422,3
46,edge_lig_10776-4_lig_9953-1,2.736666666666667,0.39063333333333333,0.6250066666311115,3
47,edge_lig_25532-2_lig_10776-4,0.18333333333333313,0.693333333333333,0.832666399786453,3
48,edge_lig_14458-1_lig_39115-1,-0.6966666666666654,0.22163333333333368,0.4707794954470019,3
49,edge_lig_20763-3_lig_39115-1,-0.11333333333333329,3.080933333333335,1.7552587653486693,3
