"Title","SMILES"
"336","*Cc1cnc(N)nc1N"
"337","*c1cc(=O)cc(N2CCOCC2)o1"
"338","*CNc1nn[nH]n1"
"343","*NC(=O)c1ccccn1"
"344","*c1ccc(C(=O)O)c(O)c1"
"348","*NC(C)=O"
"350","*Cn1nc(C)c(CC(=O)O)c1C"
"351","*CN1CCc2ccccc2C1"
"354","*c1cc2cc(C)ccc2oc1=O"
"358","*Nc1ncnn2ccc(C)c12"
"359","*OCCCN(C)C"
"360","*CC(N)C(=O)N1CC(F)CC1C#N"
"363","*NC(=O)CCCNC"
"365","*CNc1ccc(S(N)(=O)=O)cc1"
"366","*OCC1CCCN(C)C1"
"368","*Cn1nc(OC)oc1=O"
"369","*CNCCO"
"372","*NC(=O)C(C)N"
"375","*CNC1CCCC1"
"378","*C(O)c1nnc(-c2ccccc2)o1"
"381","*OCCOCCOCCF"
"382","*N1CC(NC(C)=O)CC1=O"
"386","*OC1CCN(C(C)C)C1"
"387","*CC(C)N"
"389","*Nc1cc(C)nc2ncnn12"
"391","*c1c(N)n[nH]c1C"
"393","*OCCCCN1CCCCC1"
"394","*NC(=O)CC(N)C(=O)O"
"404","*CNC(C)c1ccccc1"
"406","*c1ccc(O)c(C(=O)O)c1"
"407","*CN1CC(C(=O)O)C1"
"408","*CN"
"410","*NC(=O)CN"
"415","*Nc1ccccc1C(=O)O"
"417","*CCCNC(C)=O"
"418","*CNC(CO)C(N)=O"
"419","*c1ccc2sc(C)nc2c1"
"422","*NC(=O)CCC(N)C(N)=O"
"424","*NC(=O)C(N)CC(=O)O"
"428","*c1nc2cc(C(N)=O)ccc2[nH]1"
"429","*NC(=O)C(N)Cc1cnc[nH]1"
"430","*CCCCCCCS(C)(=O)=O"
"432","*CC(CO)N(C)CC(=O)O"
"435","*c1ccc2ccc(C)nc2c1"
"437","*Cc1c[nH]c2c(=O)[nH]c(N)nc12"
"439","*CC(C)N(C)CC(=O)O"
"440","*C1CC1NCc1ccccc1OC"
"442","*Cc1sc(=O)[nH]c1O"
"446","*CCN1CCCC1"
"449","*N1CCCC1CC(=O)O"
"450","*C(O)Cn1ccnc1"
"452","*NC(=O)c1cccnc1"
"457","*NC(=O)C(N)CCCCN"
"459","*CCOC"
"462","*OCCF"
"464","*Nc1ccccc1C(N)=O"
"465","*c1cc(C(=O)O)no1"
"467","*c1cc(O)nc(N)n1"
"470","*CNCc1ccncc1"
"471","*C1CC1NCc1ccccn1"
"475","*CC(CC#N)N(C)CC(=O)O"
"477","*OCCOCCF"
"480","*c1cc(=O)[nH]c(N)n1"
"481","*CCC(=O)O"
"482","*CNc1ccc(O)cc1"
"483","*Nc1ncnc2cc[nH]c12"
"485","*CCCNC(=O)CC"
"486","*c1ccnc(N)n1"
